
=========================== Training ===========================
[2023/03/19 23:24:14] 	 epoch : 001/300 	 Epoch loss:119.353732 	 Average loss:0.001989 	 Accuracy: 0.4853 	 KD loss: 468.243752 	 CLS loss: 42.841632
[2023/03/19 23:24:18] 	 ### Accuracy on 10000 test images: 0.4558 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 23:24:38] 	 epoch : 002/300 	 Epoch loss:64.872700 	 Average loss:0.001081 	 Accuracy: 0.7301 	 KD loss: 258.303982 	 CLS loss: 22.019837
[2023/03/19 23:24:58] 	 epoch : 003/300 	 Epoch loss:38.045623 	 Average loss:0.000634 	 Accuracy: 0.8022 	 KD loss: 142.126592 	 CLS loss: 16.033839
[2023/03/19 23:25:17] 	 epoch : 004/300 	 Epoch loss:26.628938 	 Average loss:0.000444 	 Accuracy: 0.8446 	 KD loss: 93.157519 	 CLS loss: 13.329057
[2023/03/19 23:25:36] 	 epoch : 005/300 	 Epoch loss:20.994064 	 Average loss:0.000350 	 Accuracy: 0.8659 	 KD loss: 69.979879 	 CLS loss: 11.663479
[2023/03/19 23:25:55] 	 epoch : 006/300 	 Epoch loss:18.258678 	 Average loss:0.000304 	 Accuracy: 0.8765 	 KD loss: 58.809597 	 CLS loss: 10.827930
[2023/03/19 23:26:13] 	 epoch : 007/300 	 Epoch loss:16.719882 	 Average loss:0.000279 	 Accuracy: 0.8860 	 KD loss: 52.864051 	 CLS loss: 10.245119
[2023/03/19 23:26:32] 	 epoch : 008/300 	 Epoch loss:15.170876 	 Average loss:0.000253 	 Accuracy: 0.8929 	 KD loss: 47.280086 	 CLS loss: 9.524763
[2023/03/19 23:26:49] 	 epoch : 009/300 	 Epoch loss:14.050568 	 Average loss:0.000234 	 Accuracy: 0.8985 	 KD loss: 43.386711 	 CLS loss: 8.955376
[2023/03/19 23:27:05] 	 epoch : 010/300 	 Epoch loss:13.022060 	 Average loss:0.000217 	 Accuracy: 0.9049 	 KD loss: 39.965343 	 CLS loss: 8.381652
[2023/03/19 23:27:08] 	 ### Accuracy on 10000 test images: 0.8890 Best accuracy so far: 0.4558  =>  saving model... ###
[2023/03/19 23:27:25] 	 epoch : 011/300 	 Epoch loss:12.649713 	 Average loss:0.000211 	 Accuracy: 0.9066 	 KD loss: 38.581262 	 CLS loss: 8.222433
[2023/03/19 23:27:43] 	 epoch : 012/300 	 Epoch loss:11.970544 	 Average loss:0.000200 	 Accuracy: 0.9111 	 KD loss: 36.405359 	 CLS loss: 7.815787
[2023/03/19 23:28:01] 	 epoch : 013/300 	 Epoch loss:11.593953 	 Average loss:0.000193 	 Accuracy: 0.9135 	 KD loss: 35.278111 	 CLS loss: 7.563884
[2023/03/19 23:28:18] 	 epoch : 014/300 	 Epoch loss:11.127481 	 Average loss:0.000185 	 Accuracy: 0.9165 	 KD loss: 33.784917 	 CLS loss: 7.284163
[2023/03/19 23:28:35] 	 epoch : 015/300 	 Epoch loss:10.455466 	 Average loss:0.000174 	 Accuracy: 0.9205 	 KD loss: 31.753322 	 CLS loss: 6.841336
[2023/03/19 23:28:52] 	 epoch : 016/300 	 Epoch loss:10.186477 	 Average loss:0.000170 	 Accuracy: 0.9216 	 KD loss: 30.938415 	 CLS loss: 6.664655
[2023/03/19 23:29:09] 	 epoch : 017/300 	 Epoch loss:10.075371 	 Average loss:0.000168 	 Accuracy: 0.9238 	 KD loss: 30.628763 	 CLS loss: 6.582697
[2023/03/19 23:29:25] 	 epoch : 018/300 	 Epoch loss:9.820136 	 Average loss:0.000164 	 Accuracy: 0.9250 	 KD loss: 29.781747 	 CLS loss: 6.439644
[2023/03/19 23:29:41] 	 epoch : 019/300 	 Epoch loss:9.461846 	 Average loss:0.000158 	 Accuracy: 0.9271 	 KD loss: 28.644300 	 CLS loss: 6.221642
[2023/03/19 23:29:55] 	 epoch : 020/300 	 Epoch loss:9.112390 	 Average loss:0.000152 	 Accuracy: 0.9290 	 KD loss: 27.630198 	 CLS loss: 5.977250
[2023/03/19 23:29:59] 	 ### Accuracy on 10000 test images: 0.8871 Best accuracy so far: 0.889 ###
[2023/03/19 23:30:15] 	 epoch : 021/300 	 Epoch loss:9.245689 	 Average loss:0.000154 	 Accuracy: 0.9276 	 KD loss: 27.941959 	 CLS loss: 6.095494
[2023/03/19 23:30:34] 	 epoch : 022/300 	 Epoch loss:8.832668 	 Average loss:0.000147 	 Accuracy: 0.9315 	 KD loss: 27.086023 	 CLS loss: 5.692439
[2023/03/19 23:30:52] 	 epoch : 023/300 	 Epoch loss:8.571001 	 Average loss:0.000143 	 Accuracy: 0.9328 	 KD loss: 26.176580 	 CLS loss: 5.559474
[2023/03/19 23:31:11] 	 epoch : 024/300 	 Epoch loss:8.514533 	 Average loss:0.000142 	 Accuracy: 0.9341 	 KD loss: 26.095747 	 CLS loss: 5.492305
[2023/03/19 23:31:30] 	 epoch : 025/300 	 Epoch loss:8.104689 	 Average loss:0.000135 	 Accuracy: 0.9383 	 KD loss: 24.966117 	 CLS loss: 5.185775
[2023/03/19 23:31:48] 	 epoch : 026/300 	 Epoch loss:8.023450 	 Average loss:0.000134 	 Accuracy: 0.9377 	 KD loss: 24.500319 	 CLS loss: 5.205643
[2023/03/19 23:32:07] 	 epoch : 027/300 	 Epoch loss:7.865253 	 Average loss:0.000131 	 Accuracy: 0.9387 	 KD loss: 24.271997 	 CLS loss: 5.018088
