
=========================== Training ===========================
[2023/03/19 02:05:55] 	 epoch : 001/300 	 Epoch loss:98.229167 	 Average loss:0.001637 	 Accuracy: 0.5347 	 KD loss: 163.079278 	 CLS loss: 41.246817
[2023/03/19 02:05:57] 	 ### Accuracy on 10000 test images: 0.6521 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 02:06:08] 	 epoch : 002/300 	 Epoch loss:48.553622 	 Average loss:0.000809 	 Accuracy: 0.7521 	 KD loss: 81.308610 	 CLS loss: 20.037722
[2023/03/19 02:06:27] 	 epoch : 003/300 	 Epoch loss:30.665089 	 Average loss:0.000511 	 Accuracy: 0.8230 	 KD loss: 48.471411 	 CLS loss: 14.095655
[2023/03/19 02:06:46] 	 epoch : 004/300 	 Epoch loss:23.214226 	 Average loss:0.000387 	 Accuracy: 0.8573 	 KD loss: 34.725969 	 CLS loss: 11.654798
[2023/03/19 02:07:05] 	 epoch : 005/300 	 Epoch loss:19.476334 	 Average loss:0.000325 	 Accuracy: 0.8761 	 KD loss: 28.036109 	 CLS loss: 10.327362
[2023/03/19 02:07:21] 	 epoch : 006/300 	 Epoch loss:17.303490 	 Average loss:0.000288 	 Accuracy: 0.8844 	 KD loss: 24.104952 	 CLS loss: 9.576885
[2023/03/19 02:07:34] 	 epoch : 007/300 	 Epoch loss:15.482536 	 Average loss:0.000258 	 Accuracy: 0.8939 	 KD loss: 21.202010 	 CLS loss: 8.752164
[2023/03/19 02:07:48] 	 epoch : 008/300 	 Epoch loss:14.289226 	 Average loss:0.000238 	 Accuracy: 0.9012 	 KD loss: 19.211418 	 CLS loss: 8.255823
[2023/03/19 02:08:04] 	 epoch : 009/300 	 Epoch loss:13.500121 	 Average loss:0.000225 	 Accuracy: 0.9060 	 KD loss: 18.013271 	 CLS loss: 7.868515
[2023/03/19 02:08:23] 	 epoch : 010/300 	 Epoch loss:12.847579 	 Average loss:0.000214 	 Accuracy: 0.9086 	 KD loss: 16.908872 	 CLS loss: 7.605037
[2023/03/19 02:08:26] 	 ### Accuracy on 10000 test images: 0.8846 Best accuracy so far: 0.6521  =>  saving model... ###
[2023/03/19 02:08:43] 	 epoch : 011/300 	 Epoch loss:11.934976 	 Average loss:0.000199 	 Accuracy: 0.9139 	 KD loss: 15.614123 	 CLS loss: 7.111658
[2023/03/19 02:09:00] 	 epoch : 012/300 	 Epoch loss:11.550251 	 Average loss:0.000193 	 Accuracy: 0.9160 	 KD loss: 15.031989 	 CLS loss: 6.921818
[2023/03/19 02:09:18] 	 epoch : 013/300 	 Epoch loss:11.098754 	 Average loss:0.000185 	 Accuracy: 0.9185 	 KD loss: 14.349507 	 CLS loss: 6.698689
[2023/03/19 02:09:37] 	 epoch : 014/300 	 Epoch loss:10.606466 	 Average loss:0.000177 	 Accuracy: 0.9217 	 KD loss: 13.642052 	 CLS loss: 6.437057
[2023/03/19 02:09:56] 	 epoch : 015/300 	 Epoch loss:10.151852 	 Average loss:0.000169 	 Accuracy: 0.9242 	 KD loss: 12.993920 	 CLS loss: 6.192855
[2023/03/19 02:10:14] 	 epoch : 016/300 	 Epoch loss:9.763366 	 Average loss:0.000163 	 Accuracy: 0.9283 	 KD loss: 12.501693 	 CLS loss: 5.953360
[2023/03/19 02:10:32] 	 epoch : 017/300 	 Epoch loss:9.415861 	 Average loss:0.000157 	 Accuracy: 0.9293 	 KD loss: 12.019107 	 CLS loss: 5.760273
[2023/03/19 02:10:50] 	 epoch : 018/300 	 Epoch loss:9.090984 	 Average loss:0.000152 	 Accuracy: 0.9310 	 KD loss: 11.577045 	 CLS loss: 5.575208
[2023/03/19 02:11:08] 	 epoch : 019/300 	 Epoch loss:8.799524 	 Average loss:0.000147 	 Accuracy: 0.9336 	 KD loss: 11.192625 	 CLS loss: 5.403092
[2023/03/19 02:11:26] 	 epoch : 020/300 	 Epoch loss:8.603621 	 Average loss:0.000143 	 Accuracy: 0.9355 	 KD loss: 10.970802 	 CLS loss: 5.269126
[2023/03/19 02:11:28] 	 ### Accuracy on 10000 test images: 0.8985 Best accuracy so far: 0.8846  =>  saving model... ###
