
=========================== Training ===========================
[2023/03/18 20:32:14] 	 epoch : 001/300 	 Epoch loss:142.868397 	 Average loss:0.002381 	 Accuracy: 0.3754 	 KD loss: 668.290878 	 CLS loss: 46.051090
[2023/03/18 20:32:18] 	 ### Accuracy on 10000 test images: 0.4397 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 20:32:39] 	 epoch : 002/300 	 Epoch loss:79.088075 	 Average loss:0.001318 	 Accuracy: 0.6179 	 KD loss: 368.625256 	 CLS loss: 26.815112
[2023/03/18 20:32:58] 	 epoch : 003/300 	 Epoch loss:45.876373 	 Average loss:0.000765 	 Accuracy: 0.7595 	 KD loss: 209.718544 	 CLS loss: 19.663318
[2023/03/18 20:33:16] 	 epoch : 004/300 	 Epoch loss:31.739540 	 Average loss:0.000529 	 Accuracy: 0.8084 	 KD loss: 142.112926 	 CLS loss: 16.584773
[2023/03/18 20:33:33] 	 epoch : 005/300 	 Epoch loss:24.505800 	 Average loss:0.000408 	 Accuracy: 0.8405 	 KD loss: 107.754892 	 CLS loss: 14.774103
[2023/03/18 20:33:49] 	 epoch : 006/300 	 Epoch loss:19.942135 	 Average loss:0.000332 	 Accuracy: 0.8607 	 KD loss: 86.517824 	 CLS loss: 13.192850
[2023/03/18 20:34:08] 	 epoch : 007/300 	 Epoch loss:17.443865 	 Average loss:0.000291 	 Accuracy: 0.8718 	 KD loss: 74.794983 	 CLS loss: 12.424339
[2023/03/18 20:34:29] 	 epoch : 008/300 	 Epoch loss:15.639172 	 Average loss:0.000261 	 Accuracy: 0.8810 	 KD loss: 66.684660 	 CLS loss: 11.511196
[2023/03/18 20:34:48] 	 epoch : 009/300 	 Epoch loss:14.576949 	 Average loss:0.000243 	 Accuracy: 0.8878 	 KD loss: 61.947835 	 CLS loss: 10.936911
[2023/03/18 20:35:03] 	 epoch : 010/300 	 Epoch loss:13.718536 	 Average loss:0.000229 	 Accuracy: 0.8909 	 KD loss: 58.095509 	 CLS loss: 10.497171
[2023/03/18 20:35:08] 	 ### Accuracy on 10000 test images: 0.8731 Best accuracy so far: 0.4397  =>  saving model... ###
[2023/03/18 20:35:28] 	 epoch : 011/300 	 Epoch loss:13.309152 	 Average loss:0.000222 	 Accuracy: 0.8954 	 KD loss: 56.486642 	 CLS loss: 10.059117
[2023/03/18 20:35:41] 	 epoch : 012/300 	 Epoch loss:12.333582 	 Average loss:0.000206 	 Accuracy: 0.8992 	 KD loss: 52.089663 	 CLS loss: 9.578248
[2023/03/18 20:35:57] 	 epoch : 013/300 	 Epoch loss:12.003697 	 Average loss:0.000200 	 Accuracy: 0.9021 	 KD loss: 50.813206 	 CLS loss: 9.205276
[2023/03/18 20:36:14] 	 epoch : 014/300 	 Epoch loss:11.812665 	 Average loss:0.000197 	 Accuracy: 0.9037 	 KD loss: 50.086193 	 CLS loss: 8.977131
[2023/03/18 20:36:32] 	 epoch : 015/300 	 Epoch loss:11.158629 	 Average loss:0.000186 	 Accuracy: 0.9072 	 KD loss: 47.206722 	 CLS loss: 8.586421
[2023/03/18 20:36:52] 	 epoch : 016/300 	 Epoch loss:10.914608 	 Average loss:0.000182 	 Accuracy: 0.9072 	 KD loss: 46.163993 	 CLS loss: 8.409048
[2023/03/18 20:37:09] 	 epoch : 017/300 	 Epoch loss:10.755900 	 Average loss:0.000179 	 Accuracy: 0.9096 	 KD loss: 45.570988 	 CLS loss: 8.208511
[2023/03/18 20:37:28] 	 epoch : 018/300 	 Epoch loss:10.241435 	 Average loss:0.000171 	 Accuracy: 0.9133 	 KD loss: 43.322705 	 CLS loss: 7.884467
[2023/03/18 20:37:45] 	 epoch : 019/300 	 Epoch loss:9.935311 	 Average loss:0.000166 	 Accuracy: 0.9144 	 KD loss: 41.989088 	 CLS loss: 7.687468
[2023/03/18 20:38:01] 	 epoch : 020/300 	 Epoch loss:9.997502 	 Average loss:0.000167 	 Accuracy: 0.9149 	 KD loss: 42.443190 	 CLS loss: 7.544318
[2023/03/18 20:38:03] 	 ### Accuracy on 10000 test images: 0.8996 Best accuracy so far: 0.8731  =>  saving model... ###
[2023/03/18 20:38:21] 	 epoch : 021/300 	 Epoch loss:9.634273 	 Average loss:0.000161 	 Accuracy: 0.9171 	 KD loss: 40.754417 	 CLS loss: 7.416948
[2023/03/18 20:38:38] 	 epoch : 022/300 	 Epoch loss:9.336136 	 Average loss:0.000156 	 Accuracy: 0.9192 	 KD loss: 39.564579 	 CLS loss: 7.116099
[2023/03/18 20:38:55] 	 epoch : 023/300 	 Epoch loss:9.117542 	 Average loss:0.000152 	 Accuracy: 0.9197 	 KD loss: 38.522816 	 CLS loss: 7.064894
[2023/03/18 20:39:12] 	 epoch : 024/300 	 Epoch loss:9.236656 	 Average loss:0.000154 	 Accuracy: 0.9196 	 KD loss: 39.050880 	 CLS loss: 7.132400
[2023/03/18 20:39:30] 	 epoch : 025/300 	 Epoch loss:8.684151 	 Average loss:0.000145 	 Accuracy: 0.9229 	 KD loss: 36.681644 	 CLS loss: 6.739112
[2023/03/18 20:39:47] 	 epoch : 026/300 	 Epoch loss:8.744246 	 Average loss:0.000146 	 Accuracy: 0.9243 	 KD loss: 37.061104 	 CLS loss: 6.660127
[2023/03/18 20:40:05] 	 epoch : 027/300 	 Epoch loss:8.654026 	 Average loss:0.000144 	 Accuracy: 0.9240 	 KD loss: 36.690808 	 CLS loss: 6.579319
[2023/03/18 20:40:23] 	 epoch : 028/300 	 Epoch loss:8.505381 	 Average loss:0.000142 	 Accuracy: 0.9253 	 KD loss: 36.056107 	 CLS loss: 6.470796
[2023/03/18 20:40:41] 	 epoch : 029/300 	 Epoch loss:8.559168 	 Average loss:0.000143 	 Accuracy: 0.9273 	 KD loss: 36.401068 	 CLS loss: 6.394770
[2023/03/18 20:40:57] 	 epoch : 030/300 	 Epoch loss:8.184055 	 Average loss:0.000136 	 Accuracy: 0.9271 	 KD loss: 34.684897 	 CLS loss: 6.235377
[2023/03/18 20:40:59] 	 ### Accuracy on 10000 test images: 0.9081 Best accuracy so far: 0.8996  =>  saving model... ###
[2023/03/18 20:41:18] 	 epoch : 031/300 	 Epoch loss:8.320270 	 Average loss:0.000139 	 Accuracy: 0.9276 	 KD loss: 35.407059 	 CLS loss: 6.194292
[2023/03/18 20:41:34] 	 epoch : 032/300 	 Epoch loss:8.112141 	 Average loss:0.000135 	 Accuracy: 0.9291 	 KD loss: 34.519831 	 CLS loss: 6.040872
[2023/03/18 20:41:51] 	 epoch : 033/300 	 Epoch loss:7.794353 	 Average loss:0.000130 	 Accuracy: 0.9308 	 KD loss: 33.070738 	 CLS loss: 5.901026
[2023/03/18 20:42:08] 	 epoch : 034/300 	 Epoch loss:7.938723 	 Average loss:0.000132 	 Accuracy: 0.9302 	 KD loss: 33.734612 	 CLS loss: 5.959001
[2023/03/18 20:42:25] 	 epoch : 035/300 	 Epoch loss:7.793649 	 Average loss:0.000130 	 Accuracy: 0.9313 	 KD loss: 33.116530 	 CLS loss: 5.851717
