
=========================== Training ===========================
[2023/03/19 07:42:45] 	 epoch : 001/300 	 Epoch loss:259.797926 	 Average loss:0.004330 	 Accuracy: 0.3810 	 KD loss: 603.896769 	 CLS loss: 45.598032
[2023/03/19 07:42:48] 	 ### Accuracy on 10000 test images: 0.3844 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 07:43:06] 	 epoch : 002/300 	 Epoch loss:146.736108 	 Average loss:0.002446 	 Accuracy: 0.6170 	 KD loss: 339.399920 	 CLS loss: 27.440342
[2023/03/19 07:43:24] 	 epoch : 003/300 	 Epoch loss:86.822975 	 Average loss:0.001447 	 Accuracy: 0.7595 	 KD loss: 197.294950 	 CLS loss: 19.762484
[2023/03/19 07:43:41] 	 epoch : 004/300 	 Epoch loss:58.064016 	 Average loss:0.000968 	 Accuracy: 0.8105 	 KD loss: 128.779543 	 CLS loss: 16.380494
[2023/03/19 07:43:59] 	 epoch : 005/300 	 Epoch loss:43.991825 	 Average loss:0.000733 	 Accuracy: 0.8458 	 KD loss: 95.883178 	 CLS loss: 14.096382
[2023/03/19 07:44:16] 	 epoch : 006/300 	 Epoch loss:36.700452 	 Average loss:0.000612 	 Accuracy: 0.8621 	 KD loss: 78.497573 	 CLS loss: 13.253555
[2023/03/19 07:44:33] 	 epoch : 007/300 	 Epoch loss:31.789864 	 Average loss:0.000530 	 Accuracy: 0.8747 	 KD loss: 67.282845 	 CLS loss: 12.191814
[2023/03/19 07:44:51] 	 epoch : 008/300 	 Epoch loss:28.727232 	 Average loss:0.000479 	 Accuracy: 0.8840 	 KD loss: 60.469517 	 CLS loss: 11.348563
[2023/03/19 07:45:08] 	 epoch : 009/300 	 Epoch loss:26.870901 	 Average loss:0.000448 	 Accuracy: 0.8891 	 KD loss: 56.366911 	 CLS loss: 10.810341
[2023/03/19 07:45:24] 	 epoch : 010/300 	 Epoch loss:25.492146 	 Average loss:0.000425 	 Accuracy: 0.8946 	 KD loss: 53.547749 	 CLS loss: 10.182614
[2023/03/19 07:45:27] 	 ### Accuracy on 10000 test images: 0.8617 Best accuracy so far: 0.3844  =>  saving model... ###
[2023/03/19 07:45:45] 	 epoch : 011/300 	 Epoch loss:23.853994 	 Average loss:0.000398 	 Accuracy: 0.8994 	 KD loss: 49.932473 	 CLS loss: 9.702511
[2023/03/19 07:46:02] 	 epoch : 012/300 	 Epoch loss:22.459769 	 Average loss:0.000374 	 Accuracy: 0.9033 	 KD loss: 46.937213 	 CLS loss: 9.212208
[2023/03/19 07:46:20] 	 epoch : 013/300 	 Epoch loss:21.576082 	 Average loss:0.000360 	 Accuracy: 0.9056 	 KD loss: 45.023953 	 CLS loss: 8.916250
[2023/03/19 07:46:37] 	 epoch : 014/300 	 Epoch loss:20.906771 	 Average loss:0.000348 	 Accuracy: 0.9073 	 KD loss: 43.598160 	 CLS loss: 8.668767
[2023/03/19 07:46:55] 	 epoch : 015/300 	 Epoch loss:20.265081 	 Average loss:0.000338 	 Accuracy: 0.9090 	 KD loss: 42.221638 	 CLS loss: 8.441063
[2023/03/19 07:47:12] 	 epoch : 016/300 	 Epoch loss:19.799411 	 Average loss:0.000330 	 Accuracy: 0.9117 	 KD loss: 41.325055 	 CLS loss: 8.173472
[2023/03/19 07:47:29] 	 epoch : 017/300 	 Epoch loss:19.001157 	 Average loss:0.000317 	 Accuracy: 0.9139 	 KD loss: 39.597714 	 CLS loss: 7.905177
[2023/03/19 07:47:46] 	 epoch : 018/300 	 Epoch loss:18.421322 	 Average loss:0.000307 	 Accuracy: 0.9151 	 KD loss: 38.360807 	 CLS loss: 7.692498
[2023/03/19 07:48:03] 	 epoch : 019/300 	 Epoch loss:17.896268 	 Average loss:0.000298 	 Accuracy: 0.9183 	 KD loss: 37.302109 	 CLS loss: 7.438560
[2023/03/19 07:48:18] 	 epoch : 020/300 	 Epoch loss:17.501156 	 Average loss:0.000292 	 Accuracy: 0.9190 	 KD loss: 36.456297 	 CLS loss: 7.296593
[2023/03/19 07:48:21] 	 ### Accuracy on 10000 test images: 0.8989 Best accuracy so far: 0.8617  =>  saving model... ###
[2023/03/19 07:48:37] 	 epoch : 021/300 	 Epoch loss:17.050430 	 Average loss:0.000284 	 Accuracy: 0.9205 	 KD loss: 35.430434 	 CLS loss: 7.195640
[2023/03/19 07:48:54] 	 epoch : 022/300 	 Epoch loss:16.715470 	 Average loss:0.000279 	 Accuracy: 0.9208 	 KD loss: 34.756842 	 CLS loss: 7.031833
[2023/03/19 07:49:12] 	 epoch : 023/300 	 Epoch loss:16.705517 	 Average loss:0.000278 	 Accuracy: 0.9217 	 KD loss: 34.797338 	 CLS loss: 6.966453
[2023/03/19 07:49:29] 	 epoch : 024/300 	 Epoch loss:16.505519 	 Average loss:0.000275 	 Accuracy: 0.9227 	 KD loss: 34.414050 	 CLS loss: 6.849747
[2023/03/19 07:49:46] 	 epoch : 025/300 	 Epoch loss:15.722796 	 Average loss:0.000262 	 Accuracy: 0.9241 	 KD loss: 32.700490 	 CLS loss: 6.606500
[2023/03/19 07:50:03] 	 epoch : 026/300 	 Epoch loss:15.880566 	 Average loss:0.000265 	 Accuracy: 0.9252 	 KD loss: 33.158577 	 CLS loss: 6.542838
[2023/03/19 07:50:21] 	 epoch : 027/300 	 Epoch loss:15.135663 	 Average loss:0.000252 	 Accuracy: 0.9270 	 KD loss: 31.546217 	 CLS loss: 6.292941
[2023/03/19 07:50:38] 	 epoch : 028/300 	 Epoch loss:15.059715 	 Average loss:0.000251 	 Accuracy: 0.9282 	 KD loss: 31.366235 	 CLS loss: 6.283053
