
=========================== Training ===========================
[2023/03/18 12:17:11] 	 epoch : 001/300 	 Epoch loss:268.037792 	 Average loss:0.004467 	 Accuracy: 0.3496 	 KD loss: 623.016956 	 CLS loss: 47.077511
[2023/03/18 12:17:14] 	 ### Accuracy on 10000 test images: 0.4016 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 12:17:30] 	 epoch : 002/300 	 Epoch loss:145.398051 	 Average loss:0.002423 	 Accuracy: 0.6411 	 KD loss: 336.870120 	 CLS loss: 26.625002
[2023/03/18 12:17:43] 	 epoch : 003/300 	 Epoch loss:81.620686 	 Average loss:0.001360 	 Accuracy: 0.7554 	 KD loss: 184.623481 	 CLS loss: 19.428231
[2023/03/18 12:17:58] 	 epoch : 004/300 	 Epoch loss:56.508253 	 Average loss:0.000942 	 Accuracy: 0.7981 	 KD loss: 124.618336 	 CLS loss: 16.652295
[2023/03/18 12:18:14] 	 epoch : 005/300 	 Epoch loss:44.084171 	 Average loss:0.000735 	 Accuracy: 0.8391 	 KD loss: 95.881830 	 CLS loss: 14.328594
[2023/03/18 12:18:33] 	 epoch : 006/300 	 Epoch loss:36.337710 	 Average loss:0.000606 	 Accuracy: 0.8612 	 KD loss: 77.964578 	 CLS loss: 12.879697
[2023/03/18 12:18:51] 	 epoch : 007/300 	 Epoch loss:31.271917 	 Average loss:0.000521 	 Accuracy: 0.8748 	 KD loss: 66.251183 	 CLS loss: 11.928608
[2023/03/18 12:19:09] 	 epoch : 008/300 	 Epoch loss:28.148937 	 Average loss:0.000469 	 Accuracy: 0.8836 	 KD loss: 59.241571 	 CLS loss: 11.130771
[2023/03/18 12:19:27] 	 epoch : 009/300 	 Epoch loss:25.714909 	 Average loss:0.000429 	 Accuracy: 0.8899 	 KD loss: 53.920951 	 CLS loss: 10.366320
[2023/03/18 12:19:45] 	 epoch : 010/300 	 Epoch loss:24.080096 	 Average loss:0.000401 	 Accuracy: 0.8946 	 KD loss: 50.317074 	 CLS loss: 9.883164
