
=========================== Training ===========================
[2023/03/18 15:01:15] 	 epoch : 001/300 	 Epoch loss:98.542615 	 Average loss:0.001642 	 Accuracy: 0.5581 	 KD loss: 164.285684 	 CLS loss: 41.035423
[2023/03/18 15:01:18] 	 ### Accuracy on 10000 test images: 0.6732 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 15:01:36] 	 epoch : 002/300 	 Epoch loss:46.764824 	 Average loss:0.000779 	 Accuracy: 0.7643 	 KD loss: 78.457554 	 CLS loss: 19.227251
[2023/03/18 15:01:52] 	 epoch : 003/300 	 Epoch loss:29.102387 	 Average loss:0.000485 	 Accuracy: 0.8307 	 KD loss: 45.617834 	 CLS loss: 13.569067
[2023/03/18 15:02:10] 	 epoch : 004/300 	 Epoch loss:22.174595 	 Average loss:0.000370 	 Accuracy: 0.8634 	 KD loss: 32.815883 	 CLS loss: 11.310302
[2023/03/18 15:02:27] 	 epoch : 005/300 	 Epoch loss:18.967941 	 Average loss:0.000316 	 Accuracy: 0.8761 	 KD loss: 26.893540 	 CLS loss: 10.263156
[2023/03/18 15:02:44] 	 epoch : 006/300 	 Epoch loss:17.004553 	 Average loss:0.000283 	 Accuracy: 0.8854 	 KD loss: 23.525031 	 CLS loss: 9.493175
[2023/03/18 15:03:02] 	 epoch : 007/300 	 Epoch loss:15.463936 	 Average loss:0.000258 	 Accuracy: 0.8936 	 KD loss: 21.015654 	 CLS loss: 8.822093
[2023/03/18 15:03:19] 	 epoch : 008/300 	 Epoch loss:14.214778 	 Average loss:0.000237 	 Accuracy: 0.9011 	 KD loss: 19.021890 	 CLS loss: 8.257528
[2023/03/18 15:03:37] 	 epoch : 009/300 	 Epoch loss:13.588790 	 Average loss:0.000226 	 Accuracy: 0.9042 	 KD loss: 18.002688 	 CLS loss: 7.984643
[2023/03/18 15:03:53] 	 epoch : 010/300 	 Epoch loss:12.936539 	 Average loss:0.000216 	 Accuracy: 0.9080 	 KD loss: 16.918857 	 CLS loss: 7.711244
[2023/03/18 15:03:56] 	 ### Accuracy on 10000 test images: 0.8915 Best accuracy so far: 0.6732  =>  saving model... ###
