
=========================== Training ===========================
[2023/03/20 04:59:00] 	 epoch : 001/300 	 Epoch loss:269.485779 	 Average loss:0.004491 	 Accuracy: 0.3855 	 KD loss: 627.259452 	 CLS loss: 46.454982
[2023/03/20 04:59:02] 	 ### Accuracy on 10000 test images: 0.3901 Best accuracy so far: 0  =>  saving model... ###
[2023/03/20 04:59:20] 	 epoch : 002/300 	 Epoch loss:150.260685 	 Average loss:0.002504 	 Accuracy: 0.6473 	 KD loss: 349.192760 	 CLS loss: 26.458944
[2023/03/20 04:59:37] 	 epoch : 003/300 	 Epoch loss:85.516598 	 Average loss:0.001425 	 Accuracy: 0.7649 	 KD loss: 195.038718 	 CLS loss: 18.752775
[2023/03/20 04:59:53] 	 epoch : 004/300 	 Epoch loss:57.691095 	 Average loss:0.000962 	 Accuracy: 0.8036 	 KD loss: 127.652401 	 CLS loss: 16.575334
[2023/03/20 05:00:09] 	 epoch : 005/300 	 Epoch loss:45.056810 	 Average loss:0.000751 	 Accuracy: 0.8340 	 KD loss: 97.811785 	 CLS loss: 14.830237
[2023/03/20 05:00:26] 	 epoch : 006/300 	 Epoch loss:36.868080 	 Average loss:0.000614 	 Accuracy: 0.8586 	 KD loss: 79.072941 	 CLS loss: 13.097258
[2023/03/20 05:00:41] 	 epoch : 007/300 	 Epoch loss:31.671038 	 Average loss:0.000528 	 Accuracy: 0.8746 	 KD loss: 67.291137 	 CLS loss: 11.886457
[2023/03/20 05:00:57] 	 epoch : 008/300 	 Epoch loss:28.689317 	 Average loss:0.000478 	 Accuracy: 0.8831 	 KD loss: 60.544182 	 CLS loss: 11.179109
[2023/03/20 05:01:15] 	 epoch : 009/300 	 Epoch loss:26.362429 	 Average loss:0.000439 	 Accuracy: 0.8896 	 KD loss: 55.417430 	 CLS loss: 10.488642
[2023/03/20 05:01:33] 	 epoch : 010/300 	 Epoch loss:24.581019 	 Average loss:0.000410 	 Accuracy: 0.8942 	 KD loss: 51.498103 	 CLS loss: 9.954444
[2023/03/20 05:01:36] 	 ### Accuracy on 10000 test images: 0.8545 Best accuracy so far: 0.3901  =>  saving model... ###
[2023/03/20 05:01:53] 	 epoch : 011/300 	 Epoch loss:23.445006 	 Average loss:0.000391 	 Accuracy: 0.8995 	 KD loss: 49.073466 	 CLS loss: 9.539048
[2023/03/20 05:02:11] 	 epoch : 012/300 	 Epoch loss:21.723502 	 Average loss:0.000362 	 Accuracy: 0.9050 	 KD loss: 45.336205 	 CLS loss: 8.972548
[2023/03/20 05:02:30] 	 epoch : 013/300 	 Epoch loss:21.051265 	 Average loss:0.000351 	 Accuracy: 0.9061 	 KD loss: 43.897726 	 CLS loss: 8.730434
[2023/03/20 05:02:48] 	 epoch : 014/300 	 Epoch loss:20.407247 	 Average loss:0.000340 	 Accuracy: 0.9082 	 KD loss: 42.583032 	 CLS loss: 8.435085
[2023/03/20 05:03:06] 	 epoch : 015/300 	 Epoch loss:19.937318 	 Average loss:0.000332 	 Accuracy: 0.9108 	 KD loss: 41.644953 	 CLS loss: 8.198341
[2023/03/20 05:03:24] 	 epoch : 016/300 	 Epoch loss:19.098833 	 Average loss:0.000318 	 Accuracy: 0.9127 	 KD loss: 39.794631 	 CLS loss: 7.952450
[2023/03/20 05:03:42] 	 epoch : 017/300 	 Epoch loss:18.678256 	 Average loss:0.000311 	 Accuracy: 0.9130 	 KD loss: 38.853539 	 CLS loss: 7.842100
[2023/03/20 05:04:01] 	 epoch : 018/300 	 Epoch loss:18.152573 	 Average loss:0.000303 	 Accuracy: 0.9157 	 KD loss: 37.774022 	 CLS loss: 7.607410
[2023/03/20 05:04:20] 	 epoch : 019/300 	 Epoch loss:17.519294 	 Average loss:0.000292 	 Accuracy: 0.9179 	 KD loss: 36.436673 	 CLS loss: 7.361563
[2023/03/20 05:04:37] 	 epoch : 020/300 	 Epoch loss:17.242582 	 Average loss:0.000287 	 Accuracy: 0.9201 	 KD loss: 36.026548 	 CLS loss: 7.079906
[2023/03/20 05:04:40] 	 ### Accuracy on 10000 test images: 0.8971 Best accuracy so far: 0.8545  =>  saving model... ###
[2023/03/20 05:04:59] 	 epoch : 021/300 	 Epoch loss:16.966764 	 Average loss:0.000283 	 Accuracy: 0.9206 	 KD loss: 35.330705 	 CLS loss: 7.086206
[2023/03/20 05:05:18] 	 epoch : 022/300 	 Epoch loss:16.387027 	 Average loss:0.000273 	 Accuracy: 0.9243 	 KD loss: 34.177608 	 CLS loss: 6.789958
[2023/03/20 05:05:36] 	 epoch : 023/300 	 Epoch loss:16.417324 	 Average loss:0.000274 	 Accuracy: 0.9230 	 KD loss: 34.241997 	 CLS loss: 6.801312
[2023/03/20 05:05:55] 	 epoch : 024/300 	 Epoch loss:15.761660 	 Average loss:0.000263 	 Accuracy: 0.9241 	 KD loss: 32.777455 	 CLS loss: 6.626695
[2023/03/20 05:06:13] 	 epoch : 025/300 	 Epoch loss:15.440100 	 Average loss:0.000257 	 Accuracy: 0.9261 	 KD loss: 32.144702 	 CLS loss: 6.455547
[2023/03/20 05:06:29] 	 epoch : 026/300 	 Epoch loss:15.045127 	 Average loss:0.000251 	 Accuracy: 0.9278 	 KD loss: 31.373843 	 CLS loss: 6.238974
[2023/03/20 05:06:45] 	 epoch : 027/300 	 Epoch loss:14.671771 	 Average loss:0.000245 	 Accuracy: 0.9290 	 KD loss: 30.528205 	 CLS loss: 6.151220
[2023/03/20 05:07:02] 	 epoch : 028/300 	 Epoch loss:14.730289 	 Average loss:0.000246 	 Accuracy: 0.9287 	 KD loss: 30.652904 	 CLS loss: 6.172817
[2023/03/20 05:07:18] 	 epoch : 029/300 	 Epoch loss:14.429562 	 Average loss:0.000240 	 Accuracy: 0.9304 	 KD loss: 30.118534 	 CLS loss: 5.955371
[2023/03/20 05:07:33] 	 epoch : 030/300 	 Epoch loss:14.310938 	 Average loss:0.000239 	 Accuracy: 0.9307 	 KD loss: 29.892808 	 CLS loss: 5.884537
[2023/03/20 05:07:36] 	 ### Accuracy on 10000 test images: 0.9050 Best accuracy so far: 0.8971  =>  saving model... ###
[2023/03/20 05:07:53] 	 epoch : 031/300 	 Epoch loss:14.083388 	 Average loss:0.000235 	 Accuracy: 0.9315 	 KD loss: 29.337752 	 CLS loss: 5.870718
[2023/03/20 05:08:11] 	 epoch : 032/300 	 Epoch loss:13.815282 	 Average loss:0.000230 	 Accuracy: 0.9325 	 KD loss: 28.818964 	 CLS loss: 5.719240
[2023/03/20 05:08:28] 	 epoch : 033/300 	 Epoch loss:13.850031 	 Average loss:0.000231 	 Accuracy: 0.9327 	 KD loss: 28.907695 	 CLS loss: 5.717381
[2023/03/20 05:08:44] 	 epoch : 034/300 	 Epoch loss:13.462758 	 Average loss:0.000224 	 Accuracy: 0.9339 	 KD loss: 28.113774 	 CLS loss: 5.543120
[2023/03/20 05:09:01] 	 epoch : 035/300 	 Epoch loss:13.187089 	 Average loss:0.000220 	 Accuracy: 0.9344 	 KD loss: 27.519691 	 CLS loss: 5.448030
[2023/03/20 05:09:18] 	 epoch : 036/300 	 Epoch loss:13.052012 	 Average loss:0.000218 	 Accuracy: 0.9354 	 KD loss: 27.256726 	 CLS loss: 5.373304
[2023/03/20 05:09:36] 	 epoch : 037/300 	 Epoch loss:12.764116 	 Average loss:0.000213 	 Accuracy: 0.9369 	 KD loss: 26.655700 	 CLS loss: 5.254588
[2023/03/20 05:09:54] 	 epoch : 038/300 	 Epoch loss:12.804608 	 Average loss:0.000213 	 Accuracy: 0.9364 	 KD loss: 26.770072 	 CLS loss: 5.241447
[2023/03/20 05:10:12] 	 epoch : 039/300 	 Epoch loss:12.798966 	 Average loss:0.000213 	 Accuracy: 0.9370 	 KD loss: 26.764783 	 CLS loss: 5.232630
[2023/03/20 05:10:28] 	 epoch : 040/300 	 Epoch loss:12.454498 	 Average loss:0.000208 	 Accuracy: 0.9372 	 KD loss: 26.027536 	 CLS loss: 5.108707
[2023/03/20 05:10:30] 	 ### Accuracy on 10000 test images: 0.9117 Best accuracy so far: 0.905  =>  saving model... ###
[2023/03/20 05:10:48] 	 epoch : 041/300 	 Epoch loss:12.603680 	 Average loss:0.000210 	 Accuracy: 0.9381 	 KD loss: 26.389130 	 CLS loss: 5.120068
[2023/03/20 05:11:06] 	 epoch : 042/300 	 Epoch loss:12.270019 	 Average loss:0.000205 	 Accuracy: 0.9394 	 KD loss: 25.661818 	 CLS loss: 5.013230
[2023/03/20 05:11:23] 	 epoch : 043/300 	 Epoch loss:11.882959 	 Average loss:0.000198 	 Accuracy: 0.9407 	 KD loss: 24.828187 	 CLS loss: 4.879210
[2023/03/20 05:11:39] 	 epoch : 044/300 	 Epoch loss:12.023797 	 Average loss:0.000200 	 Accuracy: 0.9408 	 KD loss: 25.180127 	 CLS loss: 4.879365
[2023/03/20 05:11:56] 	 epoch : 045/300 	 Epoch loss:11.813505 	 Average loss:0.000197 	 Accuracy: 0.9425 	 KD loss: 24.783978 	 CLS loss: 4.749784
[2023/03/20 05:12:13] 	 epoch : 046/300 	 Epoch loss:11.478615 	 Average loss:0.000191 	 Accuracy: 0.9442 	 KD loss: 24.053973 	 CLS loss: 4.642565
[2023/03/20 05:12:30] 	 epoch : 047/300 	 Epoch loss:11.463140 	 Average loss:0.000191 	 Accuracy: 0.9428 	 KD loss: 24.003425 	 CLS loss: 4.654426
[2023/03/20 05:12:47] 	 epoch : 048/300 	 Epoch loss:11.310744 	 Average loss:0.000189 	 Accuracy: 0.9442 	 KD loss: 23.692836 	 CLS loss: 4.584023
[2023/03/20 05:13:03] 	 epoch : 049/300 	 Epoch loss:11.360094 	 Average loss:0.000189 	 Accuracy: 0.9437 	 KD loss: 23.868646 	 CLS loss: 4.531589
[2023/03/20 05:13:18] 	 epoch : 050/300 	 Epoch loss:11.197629 	 Average loss:0.000187 	 Accuracy: 0.9445 	 KD loss: 23.523076 	 CLS loss: 4.470997
[2023/03/20 05:13:20] 	 ### Accuracy on 10000 test images: 0.9164 Best accuracy so far: 0.9117  =>  saving model... ###
[2023/03/20 05:13:37] 	 epoch : 051/300 	 Epoch loss:11.471839 	 Average loss:0.000191 	 Accuracy: 0.9447 	 KD loss: 24.145478 	 CLS loss: 4.534118
