
=========================== Training ===========================
[2023/03/19 04:53:17] 	 epoch : 001/300 	 Epoch loss:102.967263 	 Average loss:0.001716 	 Accuracy: 0.5018 	 KD loss: 170.143723 	 CLS loss: 43.637215
[2023/03/19 04:53:20] 	 ### Accuracy on 10000 test images: 0.3232 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 04:53:32] 	 epoch : 002/300 	 Epoch loss:48.443489 	 Average loss:0.000807 	 Accuracy: 0.7680 	 KD loss: 81.446810 	 CLS loss: 19.830955
[2023/03/19 04:53:45] 	 epoch : 003/300 	 Epoch loss:29.822596 	 Average loss:0.000497 	 Accuracy: 0.8324 	 KD loss: 46.987542 	 CLS loss: 13.784474
[2023/03/19 04:54:02] 	 epoch : 004/300 	 Epoch loss:22.775861 	 Average loss:0.000380 	 Accuracy: 0.8605 	 KD loss: 33.910588 	 CLS loss: 11.514532
[2023/03/19 04:54:21] 	 epoch : 005/300 	 Epoch loss:19.475365 	 Average loss:0.000325 	 Accuracy: 0.8744 	 KD loss: 27.961618 	 CLS loss: 10.363397
[2023/03/19 04:54:40] 	 epoch : 006/300 	 Epoch loss:16.991788 	 Average loss:0.000283 	 Accuracy: 0.8859 	 KD loss: 23.650405 	 CLS loss: 9.414532
[2023/03/19 04:54:59] 	 epoch : 007/300 	 Epoch loss:16.092002 	 Average loss:0.000268 	 Accuracy: 0.8915 	 KD loss: 21.956112 	 CLS loss: 9.136946
[2023/03/19 04:55:19] 	 epoch : 008/300 	 Epoch loss:14.539558 	 Average loss:0.000242 	 Accuracy: 0.8986 	 KD loss: 19.566736 	 CLS loss: 8.391079
[2023/03/19 04:55:38] 	 epoch : 009/300 	 Epoch loss:13.500443 	 Average loss:0.000225 	 Accuracy: 0.9049 	 KD loss: 17.929911 	 CLS loss: 7.910598
[2023/03/19 04:55:56] 	 epoch : 010/300 	 Epoch loss:13.029368 	 Average loss:0.000217 	 Accuracy: 0.9065 	 KD loss: 17.123495 	 CLS loss: 7.724962
[2023/03/19 04:55:59] 	 ### Accuracy on 10000 test images: 0.8845 Best accuracy so far: 0.3232  =>  saving model... ###
[2023/03/19 04:56:17] 	 epoch : 011/300 	 Epoch loss:12.165686 	 Average loss:0.000203 	 Accuracy: 0.9125 	 KD loss: 15.886512 	 CLS loss: 7.263852
[2023/03/19 04:56:35] 	 epoch : 012/300 	 Epoch loss:11.450276 	 Average loss:0.000191 	 Accuracy: 0.9165 	 KD loss: 14.824903 	 CLS loss: 6.900393
[2023/03/19 04:56:53] 	 epoch : 013/300 	 Epoch loss:11.349770 	 Average loss:0.000189 	 Accuracy: 0.9170 	 KD loss: 14.596001 	 CLS loss: 6.889212
[2023/03/19 04:57:10] 	 epoch : 014/300 	 Epoch loss:10.660342 	 Average loss:0.000178 	 Accuracy: 0.9221 	 KD loss: 13.676073 	 CLS loss: 6.487390
