
=========================== Training ===========================
[2023/03/20 07:45:49] 	 epoch : 001/300 	 Epoch loss:291.863112 	 Average loss:0.004864 	 Accuracy: 0.4404 	 KD loss: 444.549706 	 CLS loss: 41.888800
[2023/03/20 07:45:52] 	 ### Accuracy on 10000 test images: 0.3454 Best accuracy so far: 0  =>  saving model... ###
[2023/03/20 07:46:10] 	 epoch : 002/300 	 Epoch loss:157.700952 	 Average loss:0.002628 	 Accuracy: 0.7090 	 KD loss: 239.872384 	 CLS loss: 22.962522
[2023/03/20 07:46:29] 	 epoch : 003/300 	 Epoch loss:89.268544 	 Average loss:0.001488 	 Accuracy: 0.7939 	 KD loss: 131.490273 	 CLS loss: 17.290627
[2023/03/20 07:46:47] 	 epoch : 004/300 	 Epoch loss:61.041777 	 Average loss:0.001017 	 Accuracy: 0.8343 	 KD loss: 86.920320 	 CLS loss: 14.815971
[2023/03/20 07:47:06] 	 epoch : 005/300 	 Epoch loss:46.957839 	 Average loss:0.000783 	 Accuracy: 0.8596 	 KD loss: 65.236878 	 CLS loss: 13.026183
[2023/03/20 07:47:24] 	 epoch : 006/300 	 Epoch loss:39.569062 	 Average loss:0.000659 	 Accuracy: 0.8736 	 KD loss: 54.095311 	 CLS loss: 11.853123
[2023/03/20 07:47:41] 	 epoch : 007/300 	 Epoch loss:35.218253 	 Average loss:0.000587 	 Accuracy: 0.8827 	 KD loss: 47.697662 	 CLS loss: 10.999424
[2023/03/20 07:47:58] 	 epoch : 008/300 	 Epoch loss:32.711442 	 Average loss:0.000545 	 Accuracy: 0.8888 	 KD loss: 44.041458 	 CLS loss: 10.477609
[2023/03/20 07:48:15] 	 epoch : 009/300 	 Epoch loss:29.967553 	 Average loss:0.000499 	 Accuracy: 0.8958 	 KD loss: 40.265554 	 CLS loss: 9.680365
[2023/03/20 07:48:28] 	 epoch : 010/300 	 Epoch loss:28.732819 	 Average loss:0.000479 	 Accuracy: 0.8962 	 KD loss: 38.458954 	 CLS loss: 9.429076
[2023/03/20 07:48:31] 	 ### Accuracy on 10000 test images: 0.8862 Best accuracy so far: 0.3454  =>  saving model... ###
[2023/03/20 07:48:48] 	 epoch : 011/300 	 Epoch loss:26.662345 	 Average loss:0.000444 	 Accuracy: 0.9024 	 KD loss: 35.615058 	 CLS loss: 8.822183
[2023/03/20 07:49:05] 	 epoch : 012/300 	 Epoch loss:24.961204 	 Average loss:0.000416 	 Accuracy: 0.9074 	 KD loss: 33.311823 	 CLS loss: 8.290182
[2023/03/20 07:49:22] 	 epoch : 013/300 	 Epoch loss:24.372513 	 Average loss:0.000406 	 Accuracy: 0.9096 	 KD loss: 32.470724 	 CLS loss: 8.150129
[2023/03/20 07:49:39] 	 epoch : 014/300 	 Epoch loss:23.274391 	 Average loss:0.000388 	 Accuracy: 0.9138 	 KD loss: 31.008829 	 CLS loss: 7.781822
[2023/03/20 07:49:56] 	 epoch : 015/300 	 Epoch loss:22.335744 	 Average loss:0.000372 	 Accuracy: 0.9150 	 KD loss: 29.649506 	 CLS loss: 7.576733
