
=========================== Training ===========================
[2023/03/18 05:11:07] 	 epoch : 001/300 	 Epoch loss:306.020562 	 Average loss:0.005100 	 Accuracy: 0.4188 	 KD loss: 465.354551 	 CLS loss: 44.679700
[2023/03/18 05:11:10] 	 ### Accuracy on 10000 test images: 0.4845 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 05:11:27] 	 epoch : 002/300 	 Epoch loss:163.197130 	 Average loss:0.002720 	 Accuracy: 0.7130 	 KD loss: 248.552164 	 CLS loss: 23.443043
[2023/03/18 05:11:45] 	 epoch : 003/300 	 Epoch loss:93.756373 	 Average loss:0.001563 	 Accuracy: 0.7843 	 KD loss: 138.383337 	 CLS loss: 17.877279
[2023/03/18 05:12:03] 	 epoch : 004/300 	 Epoch loss:64.470491 	 Average loss:0.001075 	 Accuracy: 0.8270 	 KD loss: 92.130679 	 CLS loss: 15.320136
[2023/03/18 05:12:20] 	 epoch : 005/300 	 Epoch loss:50.391824 	 Average loss:0.000840 	 Accuracy: 0.8493 	 KD loss: 70.218789 	 CLS loss: 13.767580
[2023/03/18 05:12:38] 	 epoch : 006/300 	 Epoch loss:42.861968 	 Average loss:0.000714 	 Accuracy: 0.8648 	 KD loss: 58.826668 	 CLS loss: 12.609942
[2023/03/18 05:12:56] 	 epoch : 007/300 	 Epoch loss:37.507524 	 Average loss:0.000625 	 Accuracy: 0.8758 	 KD loss: 50.946820 	 CLS loss: 11.565718
[2023/03/18 05:13:12] 	 epoch : 008/300 	 Epoch loss:33.290866 	 Average loss:0.000555 	 Accuracy: 0.8857 	 KD loss: 44.879096 	 CLS loss: 10.605679
[2023/03/18 05:13:29] 	 epoch : 009/300 	 Epoch loss:30.908925 	 Average loss:0.000515 	 Accuracy: 0.8919 	 KD loss: 41.500658 	 CLS loss: 10.014215
[2023/03/18 05:13:43] 	 epoch : 010/300 	 Epoch loss:29.053314 	 Average loss:0.000484 	 Accuracy: 0.8965 	 KD loss: 38.935541 	 CLS loss: 9.486647
[2023/03/18 05:13:45] 	 ### Accuracy on 10000 test images: 0.8767 Best accuracy so far: 0.4845  =>  saving model... ###
[2023/03/18 05:14:01] 	 epoch : 011/300 	 Epoch loss:28.108701 	 Average loss:0.000468 	 Accuracy: 0.8986 	 KD loss: 37.597456 	 CLS loss: 9.250376
[2023/03/18 05:14:18] 	 epoch : 012/300 	 Epoch loss:25.675951 	 Average loss:0.000428 	 Accuracy: 0.9066 	 KD loss: 34.293733 	 CLS loss: 8.499517
[2023/03/18 05:14:34] 	 epoch : 013/300 	 Epoch loss:25.061534 	 Average loss:0.000418 	 Accuracy: 0.9070 	 KD loss: 33.399144 	 CLS loss: 8.370079
[2023/03/18 05:14:51] 	 epoch : 014/300 	 Epoch loss:23.839672 	 Average loss:0.000397 	 Accuracy: 0.9112 	 KD loss: 31.818943 	 CLS loss: 7.913841
[2023/03/18 05:15:06] 	 epoch : 015/300 	 Epoch loss:23.341898 	 Average loss:0.000389 	 Accuracy: 0.9123 	 KD loss: 31.070511 	 CLS loss: 7.832651
[2023/03/18 05:15:23] 	 epoch : 016/300 	 Epoch loss:22.209641 	 Average loss:0.000370 	 Accuracy: 0.9151 	 KD loss: 29.569166 	 CLS loss: 7.446901
[2023/03/18 05:15:40] 	 epoch : 017/300 	 Epoch loss:21.436801 	 Average loss:0.000357 	 Accuracy: 0.9176 	 KD loss: 28.536200 	 CLS loss: 7.191800
[2023/03/18 05:15:58] 	 epoch : 018/300 	 Epoch loss:21.144689 	 Average loss:0.000352 	 Accuracy: 0.9178 	 KD loss: 28.129420 	 CLS loss: 7.111726
[2023/03/18 05:16:16] 	 epoch : 019/300 	 Epoch loss:20.404921 	 Average loss:0.000340 	 Accuracy: 0.9212 	 KD loss: 27.126492 	 CLS loss: 6.881708
[2023/03/18 05:16:31] 	 epoch : 020/300 	 Epoch loss:19.665198 	 Average loss:0.000328 	 Accuracy: 0.9228 	 KD loss: 26.113532 	 CLS loss: 6.661797
[2023/03/18 05:16:34] 	 ### Accuracy on 10000 test images: 0.8899 Best accuracy so far: 0.8767  =>  saving model... ###
