
=========================== Training ===========================
[2023/03/20 07:45:44] 	 epoch : 001/300 	 Epoch loss:114.099348 	 Average loss:0.001902 	 Accuracy: 0.4947 	 KD loss: 449.653482 	 CLS loss: 40.281082
[2023/03/20 07:45:47] 	 ### Accuracy on 10000 test images: 0.3846 Best accuracy so far: 0  =>  saving model... ###
[2023/03/20 07:45:58] 	 epoch : 002/300 	 Epoch loss:61.979130 	 Average loss:0.001033 	 Accuracy: 0.7425 	 KD loss: 246.204259 	 CLS loss: 21.230462
[2023/03/20 07:46:14] 	 epoch : 003/300 	 Epoch loss:37.286315 	 Average loss:0.000621 	 Accuracy: 0.8090 	 KD loss: 139.132390 	 CLS loss: 15.766393
[2023/03/20 07:46:31] 	 epoch : 004/300 	 Epoch loss:26.262727 	 Average loss:0.000438 	 Accuracy: 0.8469 	 KD loss: 91.513096 	 CLS loss: 13.266844
[2023/03/20 07:46:49] 	 epoch : 005/300 	 Epoch loss:20.793949 	 Average loss:0.000347 	 Accuracy: 0.8686 	 KD loss: 69.084904 	 CLS loss: 11.628280
[2023/03/20 07:47:07] 	 epoch : 006/300 	 Epoch loss:17.803990 	 Average loss:0.000297 	 Accuracy: 0.8804 	 KD loss: 57.104794 	 CLS loss: 10.638385
[2023/03/20 07:47:25] 	 epoch : 007/300 	 Epoch loss:16.185495 	 Average loss:0.000270 	 Accuracy: 0.8871 	 KD loss: 50.608495 	 CLS loss: 10.106326
[2023/03/20 07:47:44] 	 epoch : 008/300 	 Epoch loss:14.940019 	 Average loss:0.000249 	 Accuracy: 0.8937 	 KD loss: 46.302576 	 CLS loss: 9.465838
[2023/03/20 07:48:02] 	 epoch : 009/300 	 Epoch loss:13.785330 	 Average loss:0.000230 	 Accuracy: 0.8993 	 KD loss: 42.318992 	 CLS loss: 8.869219
[2023/03/20 07:48:21] 	 epoch : 010/300 	 Epoch loss:13.064550 	 Average loss:0.000218 	 Accuracy: 0.9023 	 KD loss: 39.814678 	 CLS loss: 8.502690
[2023/03/20 07:48:24] 	 ### Accuracy on 10000 test images: 0.8877 Best accuracy so far: 0.3846  =>  saving model... ###
[2023/03/20 07:48:39] 	 epoch : 011/300 	 Epoch loss:12.104255 	 Average loss:0.000202 	 Accuracy: 0.9089 	 KD loss: 36.855094 	 CLS loss: 7.888727
[2023/03/20 07:48:57] 	 epoch : 012/300 	 Epoch loss:11.478446 	 Average loss:0.000191 	 Accuracy: 0.9137 	 KD loss: 34.847797 	 CLS loss: 7.514811
[2023/03/20 07:49:15] 	 epoch : 013/300 	 Epoch loss:11.117142 	 Average loss:0.000185 	 Accuracy: 0.9149 	 KD loss: 33.609004 	 CLS loss: 7.325568
[2023/03/20 07:49:33] 	 epoch : 014/300 	 Epoch loss:10.707467 	 Average loss:0.000178 	 Accuracy: 0.9168 	 KD loss: 32.372079 	 CLS loss: 7.055085
[2023/03/20 07:49:51] 	 epoch : 015/300 	 Epoch loss:10.262358 	 Average loss:0.000171 	 Accuracy: 0.9212 	 KD loss: 30.955299 	 CLS loss: 6.785497
[2023/03/20 07:50:09] 	 epoch : 016/300 	 Epoch loss:9.866322 	 Average loss:0.000164 	 Accuracy: 0.9238 	 KD loss: 29.717809 	 CLS loss: 6.537934
