
=========================== Training ===========================
[2023/03/20 07:45:44] 	 epoch : 001/300 	 Epoch loss:252.385931 	 Average loss:0.004206 	 Accuracy: 0.4078 	 KD loss: 587.615887 	 CLS loss: 43.348930
[2023/03/20 07:45:46] 	 ### Accuracy on 10000 test images: 0.3542 Best accuracy so far: 0  =>  saving model... ###
[2023/03/20 07:45:56] 	 epoch : 002/300 	 Epoch loss:141.620199 	 Average loss:0.002360 	 Accuracy: 0.6509 	 KD loss: 328.138101 	 CLS loss: 25.912392
[2023/03/20 07:46:13] 	 epoch : 003/300 	 Epoch loss:80.809198 	 Average loss:0.001347 	 Accuracy: 0.7763 	 KD loss: 183.353759 	 CLS loss: 18.669231
[2023/03/20 07:46:30] 	 epoch : 004/300 	 Epoch loss:54.663223 	 Average loss:0.000911 	 Accuracy: 0.8180 	 KD loss: 120.629628 	 CLS loss: 16.028426
[2023/03/20 07:46:48] 	 epoch : 005/300 	 Epoch loss:42.805915 	 Average loss:0.000713 	 Accuracy: 0.8443 	 KD loss: 92.469737 	 CLS loss: 14.545047
[2023/03/20 07:47:07] 	 epoch : 006/300 	 Epoch loss:35.482357 	 Average loss:0.000591 	 Accuracy: 0.8618 	 KD loss: 75.368632 	 CLS loss: 13.337259
[2023/03/20 07:47:25] 	 epoch : 007/300 	 Epoch loss:31.229749 	 Average loss:0.000520 	 Accuracy: 0.8736 	 KD loss: 65.841057 	 CLS loss: 12.233315
[2023/03/20 07:47:43] 	 epoch : 008/300 	 Epoch loss:28.876552 	 Average loss:0.000481 	 Accuracy: 0.8805 	 KD loss: 60.634327 	 CLS loss: 11.557051
[2023/03/20 07:48:00] 	 epoch : 009/300 	 Epoch loss:26.709077 	 Average loss:0.000445 	 Accuracy: 0.8860 	 KD loss: 55.916031 	 CLS loss: 10.856660
[2023/03/20 07:48:18] 	 epoch : 010/300 	 Epoch loss:25.372550 	 Average loss:0.000423 	 Accuracy: 0.8899 	 KD loss: 53.074214 	 CLS loss: 10.357159
[2023/03/20 07:48:20] 	 ### Accuracy on 10000 test images: 0.8800 Best accuracy so far: 0.3542  =>  saving model... ###
[2023/03/20 07:48:35] 	 epoch : 011/300 	 Epoch loss:23.938386 	 Average loss:0.000399 	 Accuracy: 0.8945 	 KD loss: 49.930308 	 CLS loss: 9.915655
[2023/03/20 07:48:52] 	 epoch : 012/300 	 Epoch loss:22.414061 	 Average loss:0.000374 	 Accuracy: 0.9020 	 KD loss: 46.821370 	 CLS loss: 9.213782
[2023/03/20 07:49:09] 	 epoch : 013/300 	 Epoch loss:21.755720 	 Average loss:0.000363 	 Accuracy: 0.9026 	 KD loss: 45.401236 	 CLS loss: 8.988063
[2023/03/20 07:49:27] 	 epoch : 014/300 	 Epoch loss:21.084498 	 Average loss:0.000351 	 Accuracy: 0.9058 	 KD loss: 43.930383 	 CLS loss: 8.780861
[2023/03/20 07:49:44] 	 epoch : 015/300 	 Epoch loss:20.033547 	 Average loss:0.000334 	 Accuracy: 0.9091 	 KD loss: 41.771416 	 CLS loss: 8.312452
[2023/03/20 07:50:02] 	 epoch : 016/300 	 Epoch loss:19.320754 	 Average loss:0.000322 	 Accuracy: 0.9111 	 KD loss: 40.250880 	 CLS loss: 8.051004
[2023/03/20 07:50:19] 	 epoch : 017/300 	 Epoch loss:18.610396 	 Average loss:0.000310 	 Accuracy: 0.9137 	 KD loss: 38.714115 	 CLS loss: 7.811873
[2023/03/20 07:50:36] 	 epoch : 018/300 	 Epoch loss:18.004880 	 Average loss:0.000300 	 Accuracy: 0.9161 	 KD loss: 37.501876 	 CLS loss: 7.510323
[2023/03/20 07:50:54] 	 epoch : 019/300 	 Epoch loss:17.915449 	 Average loss:0.000299 	 Accuracy: 0.9155 	 KD loss: 37.295551 	 CLS loss: 7.493071
[2023/03/20 07:51:11] 	 epoch : 020/300 	 Epoch loss:17.231200 	 Average loss:0.000287 	 Accuracy: 0.9191 	 KD loss: 35.839945 	 CLS loss: 7.238056
[2023/03/20 07:51:13] 	 ### Accuracy on 10000 test images: 0.8882 Best accuracy so far: 0.88  =>  saving model... ###
[2023/03/20 07:51:28] 	 epoch : 021/300 	 Epoch loss:16.853051 	 Average loss:0.000281 	 Accuracy: 0.9216 	 KD loss: 35.109508 	 CLS loss: 7.023120
