
=========================== Training ===========================
[2023/03/18 15:01:12] 	 epoch : 001/300 	 Epoch loss:119.640381 	 Average loss:0.001994 	 Accuracy: 0.5111 	 KD loss: 472.243090 	 CLS loss: 41.986267
[2023/03/18 15:01:15] 	 ### Accuracy on 10000 test images: 0.6466 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 15:01:23] 	 epoch : 002/300 	 Epoch loss:62.747357 	 Average loss:0.001046 	 Accuracy: 0.7467 	 KD loss: 251.759342 	 CLS loss: 20.659145
[2023/03/18 15:01:40] 	 epoch : 003/300 	 Epoch loss:35.715163 	 Average loss:0.000595 	 Accuracy: 0.8099 	 KD loss: 133.039219 	 CLS loss: 15.178865
[2023/03/18 15:01:59] 	 epoch : 004/300 	 Epoch loss:25.512538 	 Average loss:0.000425 	 Accuracy: 0.8472 	 KD loss: 88.245517 	 CLS loss: 13.105723
[2023/03/18 15:02:18] 	 epoch : 005/300 	 Epoch loss:20.885164 	 Average loss:0.000348 	 Accuracy: 0.8657 	 KD loss: 68.930709 	 CLS loss: 11.831702
[2023/03/18 15:02:37] 	 epoch : 006/300 	 Epoch loss:18.315462 	 Average loss:0.000305 	 Accuracy: 0.8768 	 KD loss: 58.553282 	 CLS loss: 11.008008
[2023/03/18 15:02:56] 	 epoch : 007/300 	 Epoch loss:16.580033 	 Average loss:0.000276 	 Accuracy: 0.8839 	 KD loss: 52.233266 	 CLS loss: 10.222298
[2023/03/18 15:03:14] 	 epoch : 008/300 	 Epoch loss:15.147147 	 Average loss:0.000252 	 Accuracy: 0.8919 	 KD loss: 47.107608 	 CLS loss: 9.542708
[2023/03/18 15:03:33] 	 epoch : 009/300 	 Epoch loss:14.143865 	 Average loss:0.000236 	 Accuracy: 0.8979 	 KD loss: 43.525275 	 CLS loss: 9.064683
[2023/03/18 15:03:51] 	 epoch : 010/300 	 Epoch loss:13.372380 	 Average loss:0.000223 	 Accuracy: 0.9010 	 KD loss: 40.799164 	 CLS loss: 8.687578
[2023/03/18 15:03:53] 	 ### Accuracy on 10000 test images: 0.8796 Best accuracy so far: 0.6466  =>  saving model... ###
[2023/03/18 15:04:10] 	 epoch : 011/300 	 Epoch loss:12.330175 	 Average loss:0.000206 	 Accuracy: 0.9088 	 KD loss: 37.606642 	 CLS loss: 8.014744
[2023/03/18 15:04:27] 	 epoch : 012/300 	 Epoch loss:11.886519 	 Average loss:0.000198 	 Accuracy: 0.9098 	 KD loss: 35.969739 	 CLS loss: 7.820951
[2023/03/18 15:04:45] 	 epoch : 013/300 	 Epoch loss:11.378610 	 Average loss:0.000190 	 Accuracy: 0.9137 	 KD loss: 34.489697 	 CLS loss: 7.467784
[2023/03/18 15:05:02] 	 epoch : 014/300 	 Epoch loss:11.068115 	 Average loss:0.000184 	 Accuracy: 0.9157 	 KD loss: 33.446838 	 CLS loss: 7.297912
