
=========================== Training ===========================
[2023/03/18 17:45:42] 	 epoch : 001/300 	 Epoch loss:99.487798 	 Average loss:0.001658 	 Accuracy: 0.5207 	 KD loss: 164.864104 	 CLS loss: 41.927694
[2023/03/18 17:45:44] 	 ### Accuracy on 10000 test images: 0.6626 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 17:46:01] 	 epoch : 002/300 	 Epoch loss:47.985037 	 Average loss:0.000800 	 Accuracy: 0.7588 	 KD loss: 79.920672 	 CLS loss: 20.020960
[2023/03/18 17:46:19] 	 epoch : 003/300 	 Epoch loss:31.132832 	 Average loss:0.000519 	 Accuracy: 0.8203 	 KD loss: 48.735088 	 CLS loss: 14.548495
[2023/03/18 17:46:36] 	 epoch : 004/300 	 Epoch loss:24.273661 	 Average loss:0.000405 	 Accuracy: 0.8500 	 KD loss: 36.068627 	 CLS loss: 12.307762
[2023/03/18 17:46:53] 	 epoch : 005/300 	 Epoch loss:20.879309 	 Average loss:0.000348 	 Accuracy: 0.8635 	 KD loss: 29.915170 	 CLS loss: 11.141551
[2023/03/18 17:47:11] 	 epoch : 006/300 	 Epoch loss:18.673312 	 Average loss:0.000311 	 Accuracy: 0.8750 	 KD loss: 26.074347 	 CLS loss: 10.304466
[2023/03/18 17:47:28] 	 epoch : 007/300 	 Epoch loss:16.607810 	 Average loss:0.000277 	 Accuracy: 0.8877 	 KD loss: 22.723346 	 CLS loss: 9.398089
[2023/03/18 17:47:46] 	 epoch : 008/300 	 Epoch loss:15.217732 	 Average loss:0.000254 	 Accuracy: 0.8936 	 KD loss: 20.475857 	 CLS loss: 8.784236
[2023/03/18 17:48:03] 	 epoch : 009/300 	 Epoch loss:14.262824 	 Average loss:0.000238 	 Accuracy: 0.9000 	 KD loss: 18.944452 	 CLS loss: 8.356304
[2023/03/18 17:48:21] 	 epoch : 010/300 	 Epoch loss:13.388820 	 Average loss:0.000223 	 Accuracy: 0.9052 	 KD loss: 17.640705 	 CLS loss: 7.915673
[2023/03/18 17:48:24] 	 ### Accuracy on 10000 test images: 0.8652 Best accuracy so far: 0.6626  =>  saving model... ###
[2023/03/18 17:48:42] 	 epoch : 011/300 	 Epoch loss:12.836306 	 Average loss:0.000214 	 Accuracy: 0.9065 	 KD loss: 16.724006 	 CLS loss: 7.683380
[2023/03/18 17:49:00] 	 epoch : 012/300 	 Epoch loss:12.152612 	 Average loss:0.000203 	 Accuracy: 0.9121 	 KD loss: 15.762987 	 CLS loss: 7.309271
[2023/03/18 17:49:17] 	 epoch : 013/300 	 Epoch loss:11.609081 	 Average loss:0.000193 	 Accuracy: 0.9157 	 KD loss: 14.967664 	 CLS loss: 7.027518
[2023/03/18 17:49:34] 	 epoch : 014/300 	 Epoch loss:11.119288 	 Average loss:0.000185 	 Accuracy: 0.9184 	 KD loss: 14.305884 	 CLS loss: 6.746168
[2023/03/18 17:49:51] 	 epoch : 015/300 	 Epoch loss:10.615183 	 Average loss:0.000177 	 Accuracy: 0.9206 	 KD loss: 13.575660 	 CLS loss: 6.481149
[2023/03/18 17:50:08] 	 epoch : 016/300 	 Epoch loss:10.041849 	 Average loss:0.000167 	 Accuracy: 0.9263 	 KD loss: 12.795485 	 CLS loss: 6.154569
[2023/03/18 17:50:24] 	 epoch : 017/300 	 Epoch loss:9.614413 	 Average loss:0.000160 	 Accuracy: 0.9286 	 KD loss: 12.276287 	 CLS loss: 5.879872
[2023/03/18 17:50:41] 	 epoch : 018/300 	 Epoch loss:9.375135 	 Average loss:0.000156 	 Accuracy: 0.9301 	 KD loss: 11.925280 	 CLS loss: 5.756279
[2023/03/18 17:50:57] 	 epoch : 019/300 	 Epoch loss:9.181563 	 Average loss:0.000153 	 Accuracy: 0.9311 	 KD loss: 11.605704 	 CLS loss: 5.674102
[2023/03/18 17:51:13] 	 epoch : 020/300 	 Epoch loss:8.890776 	 Average loss:0.000148 	 Accuracy: 0.9332 	 KD loss: 11.246705 	 CLS loss: 5.490117
[2023/03/18 17:51:16] 	 ### Accuracy on 10000 test images: 0.8682 Best accuracy so far: 0.8652  =>  saving model... ###
[2023/03/18 17:51:31] 	 epoch : 021/300 	 Epoch loss:8.632717 	 Average loss:0.000144 	 Accuracy: 0.9339 	 KD loss: 10.955234 	 CLS loss: 5.313279
[2023/03/18 17:51:49] 	 epoch : 022/300 	 Epoch loss:8.532036 	 Average loss:0.000142 	 Accuracy: 0.9358 	 KD loss: 10.821814 	 CLS loss: 5.254137
[2023/03/18 17:52:08] 	 epoch : 023/300 	 Epoch loss:8.351690 	 Average loss:0.000139 	 Accuracy: 0.9364 	 KD loss: 10.573787 	 CLS loss: 5.152719
[2023/03/18 17:52:26] 	 epoch : 024/300 	 Epoch loss:7.824268 	 Average loss:0.000130 	 Accuracy: 0.9401 	 KD loss: 9.885670 	 CLS loss: 4.837500
[2023/03/18 17:52:44] 	 epoch : 025/300 	 Epoch loss:7.670794 	 Average loss:0.000128 	 Accuracy: 0.9428 	 KD loss: 9.732147 	 CLS loss: 4.722419
[2023/03/18 17:53:02] 	 epoch : 026/300 	 Epoch loss:7.571158 	 Average loss:0.000126 	 Accuracy: 0.9424 	 KD loss: 9.605681 	 CLS loss: 4.661107
[2023/03/18 17:53:20] 	 epoch : 027/300 	 Epoch loss:7.469243 	 Average loss:0.000124 	 Accuracy: 0.9438 	 KD loss: 9.522169 	 CLS loss: 4.575468
[2023/03/18 17:53:38] 	 epoch : 028/300 	 Epoch loss:7.244487 	 Average loss:0.000121 	 Accuracy: 0.9452 	 KD loss: 9.225066 	 CLS loss: 4.443076
[2023/03/18 17:53:55] 	 epoch : 029/300 	 Epoch loss:6.964973 	 Average loss:0.000116 	 Accuracy: 0.9479 	 KD loss: 8.938979 	 CLS loss: 4.236726
[2023/03/18 17:54:12] 	 epoch : 030/300 	 Epoch loss:6.774211 	 Average loss:0.000113 	 Accuracy: 0.9495 	 KD loss: 8.643191 	 CLS loss: 4.146168
[2023/03/18 17:54:15] 	 ### Accuracy on 10000 test images: 0.9026 Best accuracy so far: 0.8682  =>  saving model... ###
[2023/03/18 17:54:29] 	 epoch : 031/300 	 Epoch loss:6.739027 	 Average loss:0.000112 	 Accuracy: 0.9498 	 KD loss: 8.678068 	 CLS loss: 4.084749
[2023/03/18 17:54:45] 	 epoch : 032/300 	 Epoch loss:6.630541 	 Average loss:0.000111 	 Accuracy: 0.9503 	 KD loss: 8.530747 	 CLS loss: 4.022802
[2023/03/18 17:55:02] 	 epoch : 033/300 	 Epoch loss:6.759750 	 Average loss:0.000113 	 Accuracy: 0.9496 	 KD loss: 8.709778 	 CLS loss: 4.094799
[2023/03/18 17:55:19] 	 epoch : 034/300 	 Epoch loss:6.094889 	 Average loss:0.000102 	 Accuracy: 0.9553 	 KD loss: 7.928104 	 CLS loss: 3.654559
[2023/03/18 17:55:37] 	 epoch : 035/300 	 Epoch loss:6.084297 	 Average loss:0.000101 	 Accuracy: 0.9557 	 KD loss: 7.909058 	 CLS loss: 3.650842
[2023/03/18 17:55:55] 	 epoch : 036/300 	 Epoch loss:6.136025 	 Average loss:0.000102 	 Accuracy: 0.9552 	 KD loss: 8.012400 	 CLS loss: 3.663831
[2023/03/18 17:56:13] 	 epoch : 037/300 	 Epoch loss:5.736042 	 Average loss:0.000096 	 Accuracy: 0.9591 	 KD loss: 7.539175 	 CLS loss: 3.400465
[2023/03/18 17:56:31] 	 epoch : 038/300 	 Epoch loss:5.626186 	 Average loss:0.000094 	 Accuracy: 0.9593 	 KD loss: 7.367758 	 CLS loss: 3.348853
[2023/03/18 17:56:49] 	 epoch : 039/300 	 Epoch loss:5.740966 	 Average loss:0.000096 	 Accuracy: 0.9579 	 KD loss: 7.570981 	 CLS loss: 3.390717
[2023/03/18 17:57:06] 	 epoch : 040/300 	 Epoch loss:5.458375 	 Average loss:0.000091 	 Accuracy: 0.9615 	 KD loss: 7.232492 	 CLS loss: 3.206723
[2023/03/18 17:57:09] 	 ### Accuracy on 10000 test images: 0.9117 Best accuracy so far: 0.9026  =>  saving model... ###
[2023/03/18 17:57:24] 	 epoch : 041/300 	 Epoch loss:5.263707 	 Average loss:0.000088 	 Accuracy: 0.9634 	 KD loss: 7.035952 	 CLS loss: 3.061658
[2023/03/18 17:57:42] 	 epoch : 042/300 	 Epoch loss:5.364839 	 Average loss:0.000089 	 Accuracy: 0.9618 	 KD loss: 7.163498 	 CLS loss: 3.124300
[2023/03/18 17:57:59] 	 epoch : 043/300 	 Epoch loss:5.393386 	 Average loss:0.000090 	 Accuracy: 0.9616 	 KD loss: 7.226305 	 CLS loss: 3.128580
[2023/03/18 17:58:17] 	 epoch : 044/300 	 Epoch loss:5.171557 	 Average loss:0.000086 	 Accuracy: 0.9635 	 KD loss: 6.982791 	 CLS loss: 2.973050
[2023/03/18 17:58:35] 	 epoch : 045/300 	 Epoch loss:4.820963 	 Average loss:0.000080 	 Accuracy: 0.9665 	 KD loss: 6.521348 	 CLS loss: 2.765529
