
=========================== Training ===========================
[2023/03/18 05:11:02] 	 epoch : 001/300 	 Epoch loss:119.639709 	 Average loss:0.001994 	 Accuracy: 0.4799 	 KD loss: 469.326246 	 CLS loss: 42.957429
[2023/03/18 05:11:04] 	 ### Accuracy on 10000 test images: 0.6072 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 05:11:19] 	 epoch : 002/300 	 Epoch loss:63.547028 	 Average loss:0.001059 	 Accuracy: 0.7400 	 KD loss: 252.726759 	 CLS loss: 21.669457
[2023/03/18 05:11:36] 	 epoch : 003/300 	 Epoch loss:38.496922 	 Average loss:0.000642 	 Accuracy: 0.8005 	 KD loss: 143.612264 	 CLS loss: 16.290782
[2023/03/18 05:11:52] 	 epoch : 004/300 	 Epoch loss:27.472080 	 Average loss:0.000458 	 Accuracy: 0.8389 	 KD loss: 96.014630 	 CLS loss: 13.781923
[2023/03/18 05:12:09] 	 epoch : 005/300 	 Epoch loss:22.247551 	 Average loss:0.000371 	 Accuracy: 0.8569 	 KD loss: 73.969661 	 CLS loss: 12.422697
[2023/03/18 05:12:25] 	 epoch : 006/300 	 Epoch loss:19.311186 	 Average loss:0.000322 	 Accuracy: 0.8703 	 KD loss: 62.162011 	 CLS loss: 11.464639
[2023/03/18 05:12:42] 	 epoch : 007/300 	 Epoch loss:17.028092 	 Average loss:0.000284 	 Accuracy: 0.8806 	 KD loss: 53.732478 	 CLS loss: 10.469327
[2023/03/18 05:12:58] 	 epoch : 008/300 	 Epoch loss:15.501736 	 Average loss:0.000258 	 Accuracy: 0.8891 	 KD loss: 48.212222 	 CLS loss: 9.765485
[2023/03/18 05:13:16] 	 epoch : 009/300 	 Epoch loss:14.313437 	 Average loss:0.000239 	 Accuracy: 0.8962 	 KD loss: 44.261545 	 CLS loss: 9.101879
[2023/03/18 05:13:33] 	 epoch : 010/300 	 Epoch loss:13.570386 	 Average loss:0.000226 	 Accuracy: 0.9008 	 KD loss: 41.653340 	 CLS loss: 8.732863
[2023/03/18 05:13:35] 	 ### Accuracy on 10000 test images: 0.8762 Best accuracy so far: 0.6072  =>  saving model... ###
[2023/03/18 05:13:51] 	 epoch : 011/300 	 Epoch loss:12.948514 	 Average loss:0.000216 	 Accuracy: 0.9039 	 KD loss: 39.522162 	 CLS loss: 8.406801
[2023/03/18 05:14:08] 	 epoch : 012/300 	 Epoch loss:12.079786 	 Average loss:0.000201 	 Accuracy: 0.9094 	 KD loss: 36.750266 	 CLS loss: 7.882888
[2023/03/18 05:14:25] 	 epoch : 013/300 	 Epoch loss:11.679109 	 Average loss:0.000195 	 Accuracy: 0.9116 	 KD loss: 35.549137 	 CLS loss: 7.615469
[2023/03/18 05:14:43] 	 epoch : 014/300 	 Epoch loss:11.114568 	 Average loss:0.000185 	 Accuracy: 0.9157 	 KD loss: 33.831753 	 CLS loss: 7.247029
[2023/03/18 05:15:00] 	 epoch : 015/300 	 Epoch loss:10.965057 	 Average loss:0.000183 	 Accuracy: 0.9170 	 KD loss: 33.315533 	 CLS loss: 7.169916
[2023/03/18 05:15:17] 	 epoch : 016/300 	 Epoch loss:10.323681 	 Average loss:0.000172 	 Accuracy: 0.9214 	 KD loss: 31.465377 	 CLS loss: 6.717675
[2023/03/18 05:15:34] 	 epoch : 017/300 	 Epoch loss:9.974821 	 Average loss:0.000166 	 Accuracy: 0.9234 	 KD loss: 30.275746 	 CLS loss: 6.532787
[2023/03/18 05:15:51] 	 epoch : 018/300 	 Epoch loss:9.755178 	 Average loss:0.000163 	 Accuracy: 0.9249 	 KD loss: 29.700218 	 CLS loss: 6.358557
[2023/03/18 05:16:09] 	 epoch : 019/300 	 Epoch loss:9.569392 	 Average loss:0.000159 	 Accuracy: 0.9261 	 KD loss: 29.031834 	 CLS loss: 6.271709
[2023/03/18 05:16:26] 	 epoch : 020/300 	 Epoch loss:9.172668 	 Average loss:0.000153 	 Accuracy: 0.9291 	 KD loss: 27.955600 	 CLS loss: 5.969247
[2023/03/18 05:16:29] 	 ### Accuracy on 10000 test images: 0.9010 Best accuracy so far: 0.8762  =>  saving model... ###
[2023/03/18 05:16:45] 	 epoch : 021/300 	 Epoch loss:8.843564 	 Average loss:0.000147 	 Accuracy: 0.9315 	 KD loss: 26.996477 	 CLS loss: 5.740447
[2023/03/18 05:17:02] 	 epoch : 022/300 	 Epoch loss:8.747695 	 Average loss:0.000146 	 Accuracy: 0.9323 	 KD loss: 26.798034 	 CLS loss: 5.646814
[2023/03/18 05:17:18] 	 epoch : 023/300 	 Epoch loss:8.579806 	 Average loss:0.000143 	 Accuracy: 0.9339 	 KD loss: 26.264139 	 CLS loss: 5.544963
[2023/03/18 05:17:35] 	 epoch : 024/300 	 Epoch loss:8.291393 	 Average loss:0.000138 	 Accuracy: 0.9352 	 KD loss: 25.390286 	 CLS loss: 5.355559
