
=========================== Training ===========================
[2023/03/20 04:58:57] 	 epoch : 001/300 	 Epoch loss:102.368083 	 Average loss:0.001706 	 Accuracy: 0.5250 	 KD loss: 169.476519 	 CLS loss: 43.221842
[2023/03/20 04:59:00] 	 ### Accuracy on 10000 test images: 0.5861 Best accuracy so far: 0  =>  saving model... ###
[2023/03/20 04:59:15] 	 epoch : 002/300 	 Epoch loss:49.489768 	 Average loss:0.000825 	 Accuracy: 0.7577 	 KD loss: 83.078630 	 CLS loss: 20.322894
[2023/03/20 04:59:31] 	 epoch : 003/300 	 Epoch loss:31.228425 	 Average loss:0.000520 	 Accuracy: 0.8206 	 KD loss: 49.274612 	 CLS loss: 14.398225
[2023/03/20 04:59:48] 	 epoch : 004/300 	 Epoch loss:23.342081 	 Average loss:0.000389 	 Accuracy: 0.8583 	 KD loss: 34.934319 	 CLS loss: 11.710441
[2023/03/20 05:00:04] 	 epoch : 005/300 	 Epoch loss:19.382491 	 Average loss:0.000323 	 Accuracy: 0.8754 	 KD loss: 27.709061 	 CLS loss: 10.373583
[2023/03/20 05:00:21] 	 epoch : 006/300 	 Epoch loss:17.019378 	 Average loss:0.000284 	 Accuracy: 0.8877 	 KD loss: 23.699983 	 CLS loss: 9.424231
[2023/03/20 05:00:38] 	 epoch : 007/300 	 Epoch loss:15.522666 	 Average loss:0.000259 	 Accuracy: 0.8951 	 KD loss: 21.223063 	 CLS loss: 8.791800
[2023/03/20 05:00:56] 	 epoch : 008/300 	 Epoch loss:14.321726 	 Average loss:0.000239 	 Accuracy: 0.9018 	 KD loss: 19.262414 	 CLS loss: 8.270950
[2023/03/20 05:01:14] 	 epoch : 009/300 	 Epoch loss:13.468775 	 Average loss:0.000224 	 Accuracy: 0.9055 	 KD loss: 17.956581 	 CLS loss: 7.857678
[2023/03/20 05:01:33] 	 epoch : 010/300 	 Epoch loss:12.732464 	 Average loss:0.000212 	 Accuracy: 0.9111 	 KD loss: 16.767519 	 CLS loss: 7.531820
[2023/03/20 05:01:35] 	 ### Accuracy on 10000 test images: 0.8799 Best accuracy so far: 0.5861  =>  saving model... ###
[2023/03/20 05:01:52] 	 epoch : 011/300 	 Epoch loss:11.923143 	 Average loss:0.000199 	 Accuracy: 0.9150 	 KD loss: 15.555642 	 CLS loss: 7.126107
[2023/03/20 05:02:10] 	 epoch : 012/300 	 Epoch loss:11.272613 	 Average loss:0.000188 	 Accuracy: 0.9191 	 KD loss: 14.638931 	 CLS loss: 6.771301
[2023/03/20 05:02:28] 	 epoch : 013/300 	 Epoch loss:10.830281 	 Average loss:0.000181 	 Accuracy: 0.9218 	 KD loss: 13.955438 	 CLS loss: 6.560131
[2023/03/20 05:02:46] 	 epoch : 014/300 	 Epoch loss:10.457978 	 Average loss:0.000174 	 Accuracy: 0.9238 	 KD loss: 13.441676 	 CLS loss: 6.351634
[2023/03/20 05:03:03] 	 epoch : 015/300 	 Epoch loss:10.069755 	 Average loss:0.000168 	 Accuracy: 0.9254 	 KD loss: 12.920193 	 CLS loss: 6.127098
[2023/03/20 05:03:19] 	 epoch : 016/300 	 Epoch loss:9.586565 	 Average loss:0.000160 	 Accuracy: 0.9288 	 KD loss: 12.255605 	 CLS loss: 5.855404
[2023/03/20 05:03:36] 	 epoch : 017/300 	 Epoch loss:9.362870 	 Average loss:0.000156 	 Accuracy: 0.9302 	 KD loss: 11.931591 	 CLS loss: 5.737792
[2023/03/20 05:03:52] 	 epoch : 018/300 	 Epoch loss:9.134504 	 Average loss:0.000152 	 Accuracy: 0.9332 	 KD loss: 11.671057 	 CLS loss: 5.582601
[2023/03/20 05:04:06] 	 epoch : 019/300 	 Epoch loss:8.623377 	 Average loss:0.000144 	 Accuracy: 0.9362 	 KD loss: 10.963526 	 CLS loss: 5.297458
[2023/03/20 05:04:22] 	 epoch : 020/300 	 Epoch loss:8.423097 	 Average loss:0.000140 	 Accuracy: 0.9363 	 KD loss: 10.689877 	 CLS loss: 5.183933
[2023/03/20 05:04:24] 	 ### Accuracy on 10000 test images: 0.8961 Best accuracy so far: 0.8799  =>  saving model... ###
[2023/03/20 05:04:40] 	 epoch : 021/300 	 Epoch loss:8.220689 	 Average loss:0.000137 	 Accuracy: 0.9386 	 KD loss: 10.402491 	 CLS loss: 5.074616
[2023/03/20 05:05:00] 	 epoch : 022/300 	 Epoch loss:7.901395 	 Average loss:0.000132 	 Accuracy: 0.9402 	 KD loss: 10.047550 	 CLS loss: 4.852969
[2023/03/20 05:05:19] 	 epoch : 023/300 	 Epoch loss:7.643519 	 Average loss:0.000127 	 Accuracy: 0.9428 	 KD loss: 9.709889 	 CLS loss: 4.699453
[2023/03/20 05:05:37] 	 epoch : 024/300 	 Epoch loss:7.482694 	 Average loss:0.000125 	 Accuracy: 0.9436 	 KD loss: 9.538161 	 CLS loss: 4.584287
