
=========================== Training ===========================
[2023/03/21 03:23:42] 	 epoch : 001/300 	 Epoch loss:100.776582 	 Average loss:0.001680 	 Accuracy: 0.5240 	 KD loss: 167.733167 	 CLS loss: 42.104142
[2023/03/21 03:23:45] 	 ### Accuracy on 10000 test images: 0.6784 Best accuracy so far: 0  =>  saving model... ###
[2023/03/21 03:24:04] 	 epoch : 002/300 	 Epoch loss:46.853339 	 Average loss:0.000781 	 Accuracy: 0.7616 	 KD loss: 78.354990 	 CLS loss: 19.389179
[2023/03/21 03:24:22] 	 epoch : 003/300 	 Epoch loss:30.086376 	 Average loss:0.000501 	 Accuracy: 0.8255 	 KD loss: 47.233872 	 CLS loss: 13.991033
[2023/03/21 03:24:36] 	 epoch : 004/300 	 Epoch loss:23.096028 	 Average loss:0.000385 	 Accuracy: 0.8581 	 KD loss: 34.420889 	 CLS loss: 11.659590
[2023/03/21 03:24:51] 	 epoch : 005/300 	 Epoch loss:19.842720 	 Average loss:0.000331 	 Accuracy: 0.8704 	 KD loss: 28.353503 	 CLS loss: 10.626648
[2023/03/21 03:25:08] 	 epoch : 006/300 	 Epoch loss:17.380257 	 Average loss:0.000290 	 Accuracy: 0.8831 	 KD loss: 24.225190 	 CLS loss: 9.612726
[2023/03/21 03:25:25] 	 epoch : 007/300 	 Epoch loss:15.397609 	 Average loss:0.000257 	 Accuracy: 0.8943 	 KD loss: 21.018613 	 CLS loss: 8.737704
[2023/03/21 03:25:42] 	 epoch : 008/300 	 Epoch loss:14.553130 	 Average loss:0.000243 	 Accuracy: 0.8975 	 KD loss: 19.519376 	 CLS loss: 8.431724
[2023/03/21 03:25:59] 	 epoch : 009/300 	 Epoch loss:13.892782 	 Average loss:0.000232 	 Accuracy: 0.9022 	 KD loss: 18.466899 	 CLS loss: 8.132527
[2023/03/21 03:26:16] 	 epoch : 010/300 	 Epoch loss:12.518489 	 Average loss:0.000209 	 Accuracy: 0.9105 	 KD loss: 16.423520 	 CLS loss: 7.436352
[2023/03/21 03:26:19] 	 ### Accuracy on 10000 test images: 0.8837 Best accuracy so far: 0.6784  =>  saving model... ###
[2023/03/21 03:26:35] 	 epoch : 011/300 	 Epoch loss:11.924666 	 Average loss:0.000199 	 Accuracy: 0.9135 	 KD loss: 15.524211 	 CLS loss: 7.143727
[2023/03/21 03:26:52] 	 epoch : 012/300 	 Epoch loss:11.278331 	 Average loss:0.000188 	 Accuracy: 0.9170 	 KD loss: 14.611634 	 CLS loss: 6.792097
[2023/03/21 03:27:09] 	 epoch : 013/300 	 Epoch loss:10.780400 	 Average loss:0.000180 	 Accuracy: 0.9203 	 KD loss: 13.891956 	 CLS loss: 6.529522
[2023/03/21 03:27:26] 	 epoch : 014/300 	 Epoch loss:10.516010 	 Average loss:0.000175 	 Accuracy: 0.9214 	 KD loss: 13.481848 	 CLS loss: 6.404088
[2023/03/21 03:27:44] 	 epoch : 015/300 	 Epoch loss:10.146503 	 Average loss:0.000169 	 Accuracy: 0.9251 	 KD loss: 13.005303 	 CLS loss: 6.180477
[2023/03/21 03:28:01] 	 epoch : 016/300 	 Epoch loss:9.771042 	 Average loss:0.000163 	 Accuracy: 0.9266 	 KD loss: 12.468184 	 CLS loss: 5.979711
[2023/03/21 03:28:18] 	 epoch : 017/300 	 Epoch loss:9.316098 	 Average loss:0.000155 	 Accuracy: 0.9296 	 KD loss: 11.822968 	 CLS loss: 5.733638
[2023/03/21 03:28:36] 	 epoch : 018/300 	 Epoch loss:9.224525 	 Average loss:0.000154 	 Accuracy: 0.9299 	 KD loss: 11.670750 	 CLS loss: 5.695281
[2023/03/21 03:28:54] 	 epoch : 019/300 	 Epoch loss:8.714132 	 Average loss:0.000145 	 Accuracy: 0.9345 	 KD loss: 11.048958 	 CLS loss: 5.368185
[2023/03/21 03:29:11] 	 epoch : 020/300 	 Epoch loss:8.622063 	 Average loss:0.000144 	 Accuracy: 0.9355 	 KD loss: 10.927042 	 CLS loss: 5.314058
[2023/03/21 03:29:14] 	 ### Accuracy on 10000 test images: 0.9058 Best accuracy so far: 0.8837  =>  saving model... ###
[2023/03/21 03:29:31] 	 epoch : 021/300 	 Epoch loss:8.509981 	 Average loss:0.000142 	 Accuracy: 0.9354 	 KD loss: 10.779502 	 CLS loss: 5.247725
[2023/03/21 03:29:48] 	 epoch : 022/300 	 Epoch loss:7.858285 	 Average loss:0.000131 	 Accuracy: 0.9408 	 KD loss: 9.912316 	 CLS loss: 4.866698
