
=========================== Training ===========================
[2023/03/18 23:17:25] 	 epoch : 001/300 	 Epoch loss:258.926348 	 Average loss:0.004315 	 Accuracy: 0.3965 	 KD loss: 602.906119 	 CLS loss: 44.409740
[2023/03/18 23:17:27] 	 ### Accuracy on 10000 test images: 0.3992 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 23:17:37] 	 epoch : 002/300 	 Epoch loss:140.367876 	 Average loss:0.002339 	 Accuracy: 0.6959 	 KD loss: 327.478830 	 CLS loss: 23.440856
[2023/03/18 23:17:55] 	 epoch : 003/300 	 Epoch loss:76.649171 	 Average loss:0.001277 	 Accuracy: 0.7797 	 KD loss: 173.956290 	 CLS loss: 17.666634
[2023/03/18 23:18:14] 	 epoch : 004/300 	 Epoch loss:52.786213 	 Average loss:0.000880 	 Accuracy: 0.8174 	 KD loss: 116.097508 	 CLS loss: 15.868020
[2023/03/18 23:18:33] 	 epoch : 005/300 	 Epoch loss:41.926603 	 Average loss:0.000699 	 Accuracy: 0.8481 	 KD loss: 90.649158 	 CLS loss: 14.167348
[2023/03/18 23:18:51] 	 epoch : 006/300 	 Epoch loss:34.951668 	 Average loss:0.000583 	 Accuracy: 0.8638 	 KD loss: 74.482211 	 CLS loss: 12.896957
[2023/03/18 23:19:10] 	 epoch : 007/300 	 Epoch loss:31.080895 	 Average loss:0.000518 	 Accuracy: 0.8756 	 KD loss: 65.712311 	 CLS loss: 11.989926
[2023/03/18 23:19:27] 	 epoch : 008/300 	 Epoch loss:28.370943 	 Average loss:0.000473 	 Accuracy: 0.8843 	 KD loss: 59.774514 	 CLS loss: 11.152843
[2023/03/18 23:19:45] 	 epoch : 009/300 	 Epoch loss:26.104010 	 Average loss:0.000435 	 Accuracy: 0.8902 	 KD loss: 54.754197 	 CLS loss: 10.505827
[2023/03/18 23:20:03] 	 epoch : 010/300 	 Epoch loss:24.341469 	 Average loss:0.000406 	 Accuracy: 0.8948 	 KD loss: 50.884665 	 CLS loss: 9.969005
[2023/03/18 23:20:05] 	 ### Accuracy on 10000 test images: 0.8775 Best accuracy so far: 0.3992  =>  saving model... ###
[2023/03/18 23:20:21] 	 epoch : 011/300 	 Epoch loss:23.425761 	 Average loss:0.000390 	 Accuracy: 0.8989 	 KD loss: 49.009869 	 CLS loss: 9.554531
[2023/03/18 23:20:38] 	 epoch : 012/300 	 Epoch loss:22.340223 	 Average loss:0.000372 	 Accuracy: 0.9021 	 KD loss: 46.708072 	 CLS loss: 9.142484
[2023/03/18 23:20:55] 	 epoch : 013/300 	 Epoch loss:21.521878 	 Average loss:0.000359 	 Accuracy: 0.9042 	 KD loss: 44.896795 	 CLS loss: 8.907899
[2023/03/18 23:21:12] 	 epoch : 014/300 	 Epoch loss:19.947999 	 Average loss:0.000332 	 Accuracy: 0.9103 	 KD loss: 41.602862 	 CLS loss: 8.267134
[2023/03/18 23:21:29] 	 epoch : 015/300 	 Epoch loss:19.391081 	 Average loss:0.000323 	 Accuracy: 0.9113 	 KD loss: 40.420145 	 CLS loss: 8.057557
[2023/03/18 23:21:46] 	 epoch : 016/300 	 Epoch loss:18.957633 	 Average loss:0.000316 	 Accuracy: 0.9119 	 KD loss: 39.408438 	 CLS loss: 7.985643
[2023/03/18 23:22:03] 	 epoch : 017/300 	 Epoch loss:18.430031 	 Average loss:0.000307 	 Accuracy: 0.9150 	 KD loss: 38.337530 	 CLS loss: 7.737547
[2023/03/18 23:22:20] 	 epoch : 018/300 	 Epoch loss:18.297848 	 Average loss:0.000305 	 Accuracy: 0.9155 	 KD loss: 38.137527 	 CLS loss: 7.607091
[2023/03/18 23:22:37] 	 epoch : 019/300 	 Epoch loss:17.573138 	 Average loss:0.000293 	 Accuracy: 0.9184 	 KD loss: 36.646788 	 CLS loss: 7.286055
[2023/03/18 23:22:54] 	 epoch : 020/300 	 Epoch loss:17.048519 	 Average loss:0.000284 	 Accuracy: 0.9198 	 KD loss: 35.465737 	 CLS loss: 7.155560
[2023/03/18 23:22:56] 	 ### Accuracy on 10000 test images: 0.9019 Best accuracy so far: 0.8775  =>  saving model... ###
[2023/03/18 23:23:11] 	 epoch : 021/300 	 Epoch loss:16.555443 	 Average loss:0.000276 	 Accuracy: 0.9209 	 KD loss: 34.424632 	 CLS loss: 6.963976
[2023/03/18 23:23:29] 	 epoch : 022/300 	 Epoch loss:16.264375 	 Average loss:0.000271 	 Accuracy: 0.9232 	 KD loss: 33.840602 	 CLS loss: 6.820335
[2023/03/18 23:23:47] 	 epoch : 023/300 	 Epoch loss:16.362847 	 Average loss:0.000273 	 Accuracy: 0.9228 	 KD loss: 34.115983 	 CLS loss: 6.791133
[2023/03/18 23:24:04] 	 epoch : 024/300 	 Epoch loss:15.768451 	 Average loss:0.000263 	 Accuracy: 0.9248 	 KD loss: 32.850988 	 CLS loss: 6.570140
[2023/03/18 23:24:22] 	 epoch : 025/300 	 Epoch loss:15.512217 	 Average loss:0.000259 	 Accuracy: 0.9251 	 KD loss: 32.323052 	 CLS loss: 6.457490
[2023/03/18 23:24:39] 	 epoch : 026/300 	 Epoch loss:15.060016 	 Average loss:0.000251 	 Accuracy: 0.9271 	 KD loss: 31.383525 	 CLS loss: 6.266514
[2023/03/18 23:24:56] 	 epoch : 027/300 	 Epoch loss:14.520718 	 Average loss:0.000242 	 Accuracy: 0.9289 	 KD loss: 30.263615 	 CLS loss: 6.038180
[2023/03/18 23:25:14] 	 epoch : 028/300 	 Epoch loss:14.395102 	 Average loss:0.000240 	 Accuracy: 0.9306 	 KD loss: 29.994546 	 CLS loss: 5.993208
[2023/03/18 23:25:31] 	 epoch : 029/300 	 Epoch loss:14.470653 	 Average loss:0.000241 	 Accuracy: 0.9293 	 KD loss: 30.125528 	 CLS loss: 6.051103
