
=========================== Training ===========================
[2023/03/21 00:36:31] 	 epoch : 001/300 	 Epoch loss:139.594124 	 Average loss:0.002327 	 Accuracy: 0.3752 	 KD loss: 653.363972 	 CLS loss: 44.606640
[2023/03/21 00:36:33] 	 ### Accuracy on 10000 test images: 0.3312 Best accuracy so far: 0  =>  saving model... ###
[2023/03/21 00:36:50] 	 epoch : 002/300 	 Epoch loss:78.317946 	 Average loss:0.001305 	 Accuracy: 0.5936 	 KD loss: 363.821260 	 CLS loss: 27.768465
[2023/03/21 00:37:06] 	 epoch : 003/300 	 Epoch loss:47.306993 	 Average loss:0.000788 	 Accuracy: 0.7288 	 KD loss: 215.563148 	 CLS loss: 20.971813
[2023/03/21 00:37:22] 	 epoch : 004/300 	 Epoch loss:33.303577 	 Average loss:0.000555 	 Accuracy: 0.7858 	 KD loss: 148.603001 	 CLS loss: 17.914880
[2023/03/21 00:37:39] 	 epoch : 005/300 	 Epoch loss:25.806600 	 Average loss:0.000430 	 Accuracy: 0.8287 	 KD loss: 113.594602 	 CLS loss: 15.438398
[2023/03/21 00:37:56] 	 epoch : 006/300 	 Epoch loss:21.055543 	 Average loss:0.000351 	 Accuracy: 0.8515 	 KD loss: 91.447473 	 CLS loss: 13.830240
[2023/03/21 00:38:13] 	 epoch : 007/300 	 Epoch loss:18.479983 	 Average loss:0.000308 	 Accuracy: 0.8645 	 KD loss: 79.518302 	 CLS loss: 12.881611
[2023/03/21 00:38:31] 	 epoch : 008/300 	 Epoch loss:16.493415 	 Average loss:0.000275 	 Accuracy: 0.8749 	 KD loss: 70.351013 	 CLS loss: 12.116063
[2023/03/21 00:38:48] 	 epoch : 009/300 	 Epoch loss:15.177253 	 Average loss:0.000253 	 Accuracy: 0.8818 	 KD loss: 64.444615 	 CLS loss: 11.441651
[2023/03/21 00:39:04] 	 epoch : 010/300 	 Epoch loss:14.408090 	 Average loss:0.000240 	 Accuracy: 0.8856 	 KD loss: 60.949460 	 CLS loss: 11.090987
[2023/03/21 00:39:07] 	 ### Accuracy on 10000 test images: 0.8657 Best accuracy so far: 0.3312  =>  saving model... ###
[2023/03/21 00:39:22] 	 epoch : 011/300 	 Epoch loss:13.431999 	 Average loss:0.000224 	 Accuracy: 0.8922 	 KD loss: 56.818566 	 CLS loss: 10.341425
[2023/03/21 00:39:39] 	 epoch : 012/300 	 Epoch loss:12.927718 	 Average loss:0.000215 	 Accuracy: 0.8952 	 KD loss: 54.678098 	 CLS loss: 9.960492
[2023/03/21 00:39:55] 	 epoch : 013/300 	 Epoch loss:12.332859 	 Average loss:0.000206 	 Accuracy: 0.8985 	 KD loss: 52.125031 	 CLS loss: 9.539264
[2023/03/21 00:40:12] 	 epoch : 014/300 	 Epoch loss:11.846911 	 Average loss:0.000197 	 Accuracy: 0.9021 	 KD loss: 50.013359 	 CLS loss: 9.221193
[2023/03/21 00:40:30] 	 epoch : 015/300 	 Epoch loss:11.548482 	 Average loss:0.000192 	 Accuracy: 0.9026 	 KD loss: 48.658329 	 CLS loss: 9.084083
[2023/03/21 00:40:48] 	 epoch : 016/300 	 Epoch loss:11.229158 	 Average loss:0.000187 	 Accuracy: 0.9067 	 KD loss: 47.529291 	 CLS loss: 8.616498
[2023/03/21 00:41:06] 	 epoch : 017/300 	 Epoch loss:10.847139 	 Average loss:0.000181 	 Accuracy: 0.9097 	 KD loss: 45.900269 	 CLS loss: 8.335424
[2023/03/21 00:41:24] 	 epoch : 018/300 	 Epoch loss:10.289683 	 Average loss:0.000171 	 Accuracy: 0.9113 	 KD loss: 43.422367 	 CLS loss: 8.026049
