
=========================== Training ===========================
[2023/03/19 07:42:42] 	 epoch : 001/300 	 Epoch loss:97.773678 	 Average loss:0.001630 	 Accuracy: 0.5444 	 KD loss: 162.013179 	 CLS loss: 41.210506
[2023/03/19 07:42:44] 	 ### Accuracy on 10000 test images: 0.5101 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 07:42:57] 	 epoch : 002/300 	 Epoch loss:47.574496 	 Average loss:0.000793 	 Accuracy: 0.7545 	 KD loss: 78.893506 	 CLS loss: 20.021366
[2023/03/19 07:43:14] 	 epoch : 003/300 	 Epoch loss:31.231821 	 Average loss:0.000521 	 Accuracy: 0.8177 	 KD loss: 48.941569 	 CLS loss: 14.568992
[2023/03/19 07:43:31] 	 epoch : 004/300 	 Epoch loss:24.120333 	 Average loss:0.000402 	 Accuracy: 0.8514 	 KD loss: 35.985125 	 CLS loss: 12.157853
[2023/03/19 07:43:49] 	 epoch : 005/300 	 Epoch loss:20.032123 	 Average loss:0.000334 	 Accuracy: 0.8732 	 KD loss: 28.843865 	 CLS loss: 10.618221
[2023/03/19 07:44:07] 	 epoch : 006/300 	 Epoch loss:18.060224 	 Average loss:0.000301 	 Accuracy: 0.8821 	 KD loss: 25.257125 	 CLS loss: 9.946717
[2023/03/19 07:44:25] 	 epoch : 007/300 	 Epoch loss:16.245050 	 Average loss:0.000271 	 Accuracy: 0.8894 	 KD loss: 22.265321 	 CLS loss: 9.173651
[2023/03/19 07:44:43] 	 epoch : 008/300 	 Epoch loss:15.030806 	 Average loss:0.000251 	 Accuracy: 0.8956 	 KD loss: 20.257423 	 CLS loss: 8.659796
[2023/03/19 07:45:00] 	 epoch : 009/300 	 Epoch loss:14.103401 	 Average loss:0.000235 	 Accuracy: 0.9014 	 KD loss: 18.779241 	 CLS loss: 8.239631
[2023/03/19 07:45:18] 	 epoch : 010/300 	 Epoch loss:13.099518 	 Average loss:0.000218 	 Accuracy: 0.9071 	 KD loss: 17.310745 	 CLS loss: 7.719025
[2023/03/19 07:45:21] 	 ### Accuracy on 10000 test images: 0.8717 Best accuracy so far: 0.5101  =>  saving model... ###
[2023/03/19 07:45:32] 	 epoch : 011/300 	 Epoch loss:12.387480 	 Average loss:0.000206 	 Accuracy: 0.9116 	 KD loss: 16.165512 	 CLS loss: 7.401594
[2023/03/19 07:45:49] 	 epoch : 012/300 	 Epoch loss:11.856439 	 Average loss:0.000198 	 Accuracy: 0.9148 	 KD loss: 15.400040 	 CLS loss: 7.120528
[2023/03/19 07:46:06] 	 epoch : 013/300 	 Epoch loss:11.242115 	 Average loss:0.000187 	 Accuracy: 0.9185 	 KD loss: 14.521525 	 CLS loss: 6.791881
[2023/03/19 07:46:24] 	 epoch : 014/300 	 Epoch loss:10.947001 	 Average loss:0.000182 	 Accuracy: 0.9197 	 KD loss: 14.043540 	 CLS loss: 6.661981
[2023/03/19 07:46:41] 	 epoch : 015/300 	 Epoch loss:10.562291 	 Average loss:0.000176 	 Accuracy: 0.9223 	 KD loss: 13.517166 	 CLS loss: 6.444281
[2023/03/19 07:46:59] 	 epoch : 016/300 	 Epoch loss:10.218694 	 Average loss:0.000170 	 Accuracy: 0.9242 	 KD loss: 13.037440 	 CLS loss: 6.254647
[2023/03/19 07:47:16] 	 epoch : 017/300 	 Epoch loss:9.681814 	 Average loss:0.000161 	 Accuracy: 0.9271 	 KD loss: 12.325352 	 CLS loss: 5.939590
[2023/03/19 07:47:34] 	 epoch : 018/300 	 Epoch loss:9.343705 	 Average loss:0.000156 	 Accuracy: 0.9298 	 KD loss: 11.860390 	 CLS loss: 5.749437
[2023/03/19 07:47:52] 	 epoch : 019/300 	 Epoch loss:9.027305 	 Average loss:0.000150 	 Accuracy: 0.9322 	 KD loss: 11.398352 	 CLS loss: 5.584955
[2023/03/19 07:48:10] 	 epoch : 020/300 	 Epoch loss:9.027844 	 Average loss:0.000150 	 Accuracy: 0.9333 	 KD loss: 11.465155 	 CLS loss: 5.552227
[2023/03/19 07:48:13] 	 ### Accuracy on 10000 test images: 0.9058 Best accuracy so far: 0.8717  =>  saving model... ###
[2023/03/19 07:48:27] 	 epoch : 021/300 	 Epoch loss:8.596873 	 Average loss:0.000143 	 Accuracy: 0.9357 	 KD loss: 10.869423 	 CLS loss: 5.311379
[2023/03/19 07:48:45] 	 epoch : 022/300 	 Epoch loss:8.499930 	 Average loss:0.000142 	 Accuracy: 0.9357 	 KD loss: 10.732331 	 CLS loss: 5.258746
[2023/03/19 07:49:03] 	 epoch : 023/300 	 Epoch loss:8.299982 	 Average loss:0.000138 	 Accuracy: 0.9354 	 KD loss: 10.479275 	 CLS loss: 5.135340
[2023/03/19 07:49:21] 	 epoch : 024/300 	 Epoch loss:7.935176 	 Average loss:0.000132 	 Accuracy: 0.9393 	 KD loss: 10.031282 	 CLS loss: 4.903329
[2023/03/19 07:49:39] 	 epoch : 025/300 	 Epoch loss:7.777496 	 Average loss:0.000130 	 Accuracy: 0.9408 	 KD loss: 9.821633 	 CLS loss: 4.811053
[2023/03/19 07:49:56] 	 epoch : 026/300 	 Epoch loss:7.766564 	 Average loss:0.000129 	 Accuracy: 0.9417 	 KD loss: 9.844543 	 CLS loss: 4.785933
[2023/03/19 07:50:14] 	 epoch : 027/300 	 Epoch loss:7.368695 	 Average loss:0.000123 	 Accuracy: 0.9435 	 KD loss: 9.325925 	 CLS loss: 4.547906
