
=========================== Training ===========================
[2023/03/19 04:53:20] 	 epoch : 001/300 	 Epoch loss:122.936893 	 Average loss:0.002049 	 Accuracy: 0.4299 	 KD loss: 479.706871 	 CLS loss: 44.992527
[2023/03/19 04:53:23] 	 ### Accuracy on 10000 test images: 0.3031 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 04:53:42] 	 epoch : 002/300 	 Epoch loss:66.002639 	 Average loss:0.001100 	 Accuracy: 0.7290 	 KD loss: 263.110749 	 CLS loss: 22.300814
[2023/03/19 04:54:00] 	 epoch : 003/300 	 Epoch loss:38.690404 	 Average loss:0.000645 	 Accuracy: 0.8087 	 KD loss: 146.077014 	 CLS loss: 15.791668
[2023/03/19 04:54:16] 	 epoch : 004/300 	 Epoch loss:27.083649 	 Average loss:0.000451 	 Accuracy: 0.8462 	 KD loss: 95.961567 	 CLS loss: 13.152225
[2023/03/19 04:54:29] 	 epoch : 005/300 	 Epoch loss:21.393361 	 Average loss:0.000357 	 Accuracy: 0.8658 	 KD loss: 71.731819 	 CLS loss: 11.744994
[2023/03/19 04:54:43] 	 epoch : 006/300 	 Epoch loss:18.277221 	 Average loss:0.000305 	 Accuracy: 0.8783 	 KD loss: 58.962377 	 CLS loss: 10.807909
[2023/03/19 04:55:00] 	 epoch : 007/300 	 Epoch loss:16.783978 	 Average loss:0.000280 	 Accuracy: 0.8856 	 KD loss: 52.985499 	 CLS loss: 10.311462
[2023/03/19 04:55:19] 	 epoch : 008/300 	 Epoch loss:15.100995 	 Average loss:0.000252 	 Accuracy: 0.8944 	 KD loss: 47.246842 	 CLS loss: 9.419377
[2023/03/19 04:55:38] 	 epoch : 009/300 	 Epoch loss:13.963309 	 Average loss:0.000233 	 Accuracy: 0.9000 	 KD loss: 43.221430 	 CLS loss: 8.865039
[2023/03/19 04:55:56] 	 epoch : 010/300 	 Epoch loss:13.114482 	 Average loss:0.000219 	 Accuracy: 0.9045 	 KD loss: 40.359871 	 CLS loss: 8.404180
[2023/03/19 04:55:59] 	 ### Accuracy on 10000 test images: 0.8850 Best accuracy so far: 0.3031  =>  saving model... ###
[2023/03/19 04:56:18] 	 epoch : 011/300 	 Epoch loss:12.426202 	 Average loss:0.000207 	 Accuracy: 0.9087 	 KD loss: 38.089667 	 CLS loss: 8.013781
[2023/03/19 04:56:36] 	 epoch : 012/300 	 Epoch loss:11.709989 	 Average loss:0.000195 	 Accuracy: 0.9133 	 KD loss: 35.773953 	 CLS loss: 7.591998
[2023/03/19 04:56:55] 	 epoch : 013/300 	 Epoch loss:11.546070 	 Average loss:0.000192 	 Accuracy: 0.9124 	 KD loss: 35.061075 	 CLS loss: 7.556425
[2023/03/19 04:57:13] 	 epoch : 014/300 	 Epoch loss:10.999980 	 Average loss:0.000183 	 Accuracy: 0.9173 	 KD loss: 33.359773 	 CLS loss: 7.213376
[2023/03/19 04:57:31] 	 epoch : 015/300 	 Epoch loss:10.562122 	 Average loss:0.000176 	 Accuracy: 0.9196 	 KD loss: 32.040356 	 CLS loss: 6.923418
[2023/03/19 04:57:49] 	 epoch : 016/300 	 Epoch loss:10.077891 	 Average loss:0.000168 	 Accuracy: 0.9222 	 KD loss: 30.569597 	 CLS loss: 6.606619
[2023/03/19 04:58:07] 	 epoch : 017/300 	 Epoch loss:9.929741 	 Average loss:0.000165 	 Accuracy: 0.9243 	 KD loss: 30.182682 	 CLS loss: 6.488674
[2023/03/19 04:58:24] 	 epoch : 018/300 	 Epoch loss:9.533181 	 Average loss:0.000159 	 Accuracy: 0.9267 	 KD loss: 29.072215 	 CLS loss: 6.197896
[2023/03/19 04:58:40] 	 epoch : 019/300 	 Epoch loss:9.352863 	 Average loss:0.000156 	 Accuracy: 0.9283 	 KD loss: 28.522886 	 CLS loss: 6.080476
[2023/03/19 04:58:52] 	 epoch : 020/300 	 Epoch loss:9.177973 	 Average loss:0.000153 	 Accuracy: 0.9283 	 KD loss: 28.149160 	 CLS loss: 5.913567
[2023/03/19 04:58:55] 	 ### Accuracy on 10000 test images: 0.8908 Best accuracy so far: 0.885  =>  saving model... ###
[2023/03/19 04:59:09] 	 epoch : 021/300 	 Epoch loss:8.788477 	 Average loss:0.000146 	 Accuracy: 0.9328 	 KD loss: 26.973895 	 CLS loss: 5.656162
[2023/03/19 04:59:25] 	 epoch : 022/300 	 Epoch loss:8.523283 	 Average loss:0.000142 	 Accuracy: 0.9345 	 KD loss: 26.134370 	 CLS loss: 5.494014
[2023/03/19 04:59:44] 	 epoch : 023/300 	 Epoch loss:8.295105 	 Average loss:0.000138 	 Accuracy: 0.9365 	 KD loss: 25.517858 	 CLS loss: 5.319222
[2023/03/19 05:00:03] 	 epoch : 024/300 	 Epoch loss:8.292464 	 Average loss:0.000138 	 Accuracy: 0.9354 	 KD loss: 25.534016 	 CLS loss: 5.309435
[2023/03/19 05:00:22] 	 epoch : 025/300 	 Epoch loss:8.098166 	 Average loss:0.000135 	 Accuracy: 0.9371 	 KD loss: 24.927467 	 CLS loss: 5.187787
[2023/03/19 05:00:40] 	 epoch : 026/300 	 Epoch loss:7.862760 	 Average loss:0.000131 	 Accuracy: 0.9393 	 KD loss: 24.205945 	 CLS loss: 5.035951
[2023/03/19 05:00:59] 	 epoch : 027/300 	 Epoch loss:7.588526 	 Average loss:0.000126 	 Accuracy: 0.9418 	 KD loss: 23.622605 	 CLS loss: 4.773342
[2023/03/19 05:01:17] 	 epoch : 028/300 	 Epoch loss:7.791627 	 Average loss:0.000130 	 Accuracy: 0.9411 	 KD loss: 24.291746 	 CLS loss: 4.888795
[2023/03/19 05:01:35] 	 epoch : 029/300 	 Epoch loss:7.476040 	 Average loss:0.000125 	 Accuracy: 0.9431 	 KD loss: 23.291568 	 CLS loss: 4.696210
