
=========================== Training ===========================
[2023/03/19 04:53:09] 	 epoch : 001/300 	 Epoch loss:270.498475 	 Average loss:0.004508 	 Accuracy: 0.3564 	 KD loss: 628.171897 	 CLS loss: 48.074281
[2023/03/19 04:53:12] 	 ### Accuracy on 10000 test images: 0.2303 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 04:53:23] 	 epoch : 002/300 	 Epoch loss:156.584184 	 Average loss:0.002610 	 Accuracy: 0.5564 	 KD loss: 361.199460 	 CLS loss: 30.260993
[2023/03/19 04:53:42] 	 epoch : 003/300 	 Epoch loss:91.663795 	 Average loss:0.001528 	 Accuracy: 0.7463 	 KD loss: 209.413326 	 CLS loss: 19.746157
[2023/03/19 04:54:01] 	 epoch : 004/300 	 Epoch loss:61.137169 	 Average loss:0.001019 	 Accuracy: 0.8012 	 KD loss: 136.056163 	 CLS loss: 16.786757
[2023/03/19 04:54:21] 	 epoch : 005/300 	 Epoch loss:46.161211 	 Average loss:0.000769 	 Accuracy: 0.8408 	 KD loss: 101.079959 	 CLS loss: 14.323066
[2023/03/19 04:54:40] 	 epoch : 006/300 	 Epoch loss:37.297652 	 Average loss:0.000622 	 Accuracy: 0.8619 	 KD loss: 80.321350 	 CLS loss: 12.922779
[2023/03/19 04:54:59] 	 epoch : 007/300 	 Epoch loss:32.430646 	 Average loss:0.000541 	 Accuracy: 0.8728 	 KD loss: 68.950866 	 CLS loss: 12.125747
[2023/03/19 04:55:18] 	 epoch : 008/300 	 Epoch loss:29.121815 	 Average loss:0.000485 	 Accuracy: 0.8828 	 KD loss: 61.635334 	 CLS loss: 11.169203
[2023/03/19 04:55:36] 	 epoch : 009/300 	 Epoch loss:26.913998 	 Average loss:0.000449 	 Accuracy: 0.8873 	 KD loss: 56.573737 	 CLS loss: 10.711255
[2023/03/19 04:55:48] 	 epoch : 010/300 	 Epoch loss:25.159455 	 Average loss:0.000419 	 Accuracy: 0.8943 	 KD loss: 52.844165 	 CLS loss: 10.054472
[2023/03/19 04:55:51] 	 ### Accuracy on 10000 test images: 0.8762 Best accuracy so far: 0.2303  =>  saving model... ###
[2023/03/19 04:56:02] 	 epoch : 011/300 	 Epoch loss:24.043798 	 Average loss:0.000401 	 Accuracy: 0.8980 	 KD loss: 50.511407 	 CLS loss: 9.598087
[2023/03/19 04:56:19] 	 epoch : 012/300 	 Epoch loss:22.343026 	 Average loss:0.000372 	 Accuracy: 0.9023 	 KD loss: 46.778643 	 CLS loss: 9.078921
[2023/03/19 04:56:37] 	 epoch : 013/300 	 Epoch loss:21.649336 	 Average loss:0.000361 	 Accuracy: 0.9043 	 KD loss: 45.244420 	 CLS loss: 8.878920
[2023/03/19 04:56:55] 	 epoch : 014/300 	 Epoch loss:20.963404 	 Average loss:0.000349 	 Accuracy: 0.9068 	 KD loss: 43.853739 	 CLS loss: 8.554769
[2023/03/19 04:57:14] 	 epoch : 015/300 	 Epoch loss:20.077002 	 Average loss:0.000335 	 Accuracy: 0.9106 	 KD loss: 42.003393 	 CLS loss: 8.189113
[2023/03/19 04:57:32] 	 epoch : 016/300 	 Epoch loss:18.972262 	 Average loss:0.000316 	 Accuracy: 0.9137 	 KD loss: 39.641133 	 CLS loss: 7.789521
[2023/03/19 04:57:51] 	 epoch : 017/300 	 Epoch loss:18.861238 	 Average loss:0.000314 	 Accuracy: 0.9139 	 KD loss: 39.441636 	 CLS loss: 7.711457
[2023/03/19 04:58:09] 	 epoch : 018/300 	 Epoch loss:18.030575 	 Average loss:0.000301 	 Accuracy: 0.9173 	 KD loss: 37.595063 	 CLS loss: 7.481375
[2023/03/19 04:58:27] 	 epoch : 019/300 	 Epoch loss:18.213746 	 Average loss:0.000304 	 Accuracy: 0.9165 	 KD loss: 38.037331 	 CLS loss: 7.497031
[2023/03/19 04:58:45] 	 epoch : 020/300 	 Epoch loss:17.691727 	 Average loss:0.000295 	 Accuracy: 0.9184 	 KD loss: 36.969278 	 CLS loss: 7.260039
[2023/03/19 04:58:48] 	 ### Accuracy on 10000 test images: 0.9024 Best accuracy so far: 0.8762  =>  saving model... ###
[2023/03/19 04:59:05] 	 epoch : 021/300 	 Epoch loss:17.069409 	 Average loss:0.000284 	 Accuracy: 0.9202 	 KD loss: 35.647676 	 CLS loss: 7.025848
[2023/03/19 04:59:24] 	 epoch : 022/300 	 Epoch loss:16.366641 	 Average loss:0.000273 	 Accuracy: 0.9237 	 KD loss: 34.182048 	 CLS loss: 6.734554
[2023/03/19 04:59:42] 	 epoch : 023/300 	 Epoch loss:16.316867 	 Average loss:0.000272 	 Accuracy: 0.9240 	 KD loss: 34.070412 	 CLS loss: 6.721754
[2023/03/19 05:00:00] 	 epoch : 024/300 	 Epoch loss:16.223224 	 Average loss:0.000270 	 Accuracy: 0.9237 	 KD loss: 33.900701 	 CLS loss: 6.657358
[2023/03/19 05:00:13] 	 epoch : 025/300 	 Epoch loss:15.942528 	 Average loss:0.000266 	 Accuracy: 0.9253 	 KD loss: 33.300031 	 CLS loss: 6.556288
[2023/03/19 05:00:27] 	 epoch : 026/300 	 Epoch loss:15.366144 	 Average loss:0.000256 	 Accuracy: 0.9264 	 KD loss: 32.081583 	 CLS loss: 6.333777
[2023/03/19 05:00:42] 	 epoch : 027/300 	 Epoch loss:14.892181 	 Average loss:0.000248 	 Accuracy: 0.9293 	 KD loss: 31.144069 	 CLS loss: 6.086382
[2023/03/19 05:01:00] 	 epoch : 028/300 	 Epoch loss:14.932413 	 Average loss:0.000249 	 Accuracy: 0.9297 	 KD loss: 31.185741 	 CLS loss: 6.145289
[2023/03/19 05:01:18] 	 epoch : 029/300 	 Epoch loss:14.701339 	 Average loss:0.000245 	 Accuracy: 0.9310 	 KD loss: 30.766409 	 CLS loss: 5.986938
[2023/03/19 05:01:36] 	 epoch : 030/300 	 Epoch loss:14.475585 	 Average loss:0.000241 	 Accuracy: 0.9294 	 KD loss: 30.235493 	 CLS loss: 5.953470
[2023/03/19 05:01:39] 	 ### Accuracy on 10000 test images: 0.8997 Best accuracy so far: 0.9024 ###
[2023/03/19 05:01:56] 	 epoch : 031/300 	 Epoch loss:13.977351 	 Average loss:0.000233 	 Accuracy: 0.9325 	 KD loss: 29.208895 	 CLS loss: 5.734484
[2023/03/19 05:02:13] 	 epoch : 032/300 	 Epoch loss:13.755108 	 Average loss:0.000229 	 Accuracy: 0.9329 	 KD loss: 28.710637 	 CLS loss: 5.677133
[2023/03/19 05:02:31] 	 epoch : 033/300 	 Epoch loss:13.766245 	 Average loss:0.000229 	 Accuracy: 0.9331 	 KD loss: 28.731235 	 CLS loss: 5.684376
[2023/03/19 05:02:50] 	 epoch : 034/300 	 Epoch loss:13.540816 	 Average loss:0.000226 	 Accuracy: 0.9340 	 KD loss: 28.282092 	 CLS loss: 5.569948
[2023/03/19 05:03:08] 	 epoch : 035/300 	 Epoch loss:13.506495 	 Average loss:0.000225 	 Accuracy: 0.9349 	 KD loss: 28.246109 	 CLS loss: 5.520127
[2023/03/19 05:03:26] 	 epoch : 036/300 	 Epoch loss:13.524495 	 Average loss:0.000225 	 Accuracy: 0.9346 	 KD loss: 28.290383 	 CLS loss: 5.520854
[2023/03/19 05:03:43] 	 epoch : 037/300 	 Epoch loss:13.241250 	 Average loss:0.000221 	 Accuracy: 0.9371 	 KD loss: 27.726450 	 CLS loss: 5.376673
[2023/03/19 05:04:00] 	 epoch : 038/300 	 Epoch loss:13.183045 	 Average loss:0.000220 	 Accuracy: 0.9345 	 KD loss: 27.536875 	 CLS loss: 5.420736
[2023/03/19 05:04:17] 	 epoch : 039/300 	 Epoch loss:12.825158 	 Average loss:0.000214 	 Accuracy: 0.9379 	 KD loss: 26.835225 	 CLS loss: 5.227670
[2023/03/19 05:04:33] 	 epoch : 040/300 	 Epoch loss:12.717656 	 Average loss:0.000212 	 Accuracy: 0.9376 	 KD loss: 26.604184 	 CLS loss: 5.189956
[2023/03/19 05:04:36] 	 ### Accuracy on 10000 test images: 0.9115 Best accuracy so far: 0.9024  =>  saving model... ###
[2023/03/19 05:04:51] 	 epoch : 041/300 	 Epoch loss:12.551372 	 Average loss:0.000209 	 Accuracy: 0.9383 	 KD loss: 26.214801 	 CLS loss: 5.163628
