
=========================== Training ===========================
[2023/03/19 07:42:46] 	 epoch : 001/300 	 Epoch loss:97.773678 	 Average loss:0.001630 	 Accuracy: 0.5444 	 KD loss: 162.013179 	 CLS loss: 41.210506
[2023/03/19 07:42:49] 	 ### Accuracy on 10000 test images: 0.5101 Best accuracy so far: 0  =>  saving model... ###
[2023/03/19 07:43:08] 	 epoch : 002/300 	 Epoch loss:47.574496 	 Average loss:0.000793 	 Accuracy: 0.7545 	 KD loss: 78.893506 	 CLS loss: 20.021366
[2023/03/19 07:43:27] 	 epoch : 003/300 	 Epoch loss:31.231821 	 Average loss:0.000521 	 Accuracy: 0.8177 	 KD loss: 48.941569 	 CLS loss: 14.568992
[2023/03/19 07:43:46] 	 epoch : 004/300 	 Epoch loss:24.120333 	 Average loss:0.000402 	 Accuracy: 0.8514 	 KD loss: 35.985125 	 CLS loss: 12.157853
[2023/03/19 07:44:03] 	 epoch : 005/300 	 Epoch loss:20.032123 	 Average loss:0.000334 	 Accuracy: 0.8732 	 KD loss: 28.843865 	 CLS loss: 10.618221
[2023/03/19 07:44:17] 	 epoch : 006/300 	 Epoch loss:18.060224 	 Average loss:0.000301 	 Accuracy: 0.8821 	 KD loss: 25.257125 	 CLS loss: 9.946717
[2023/03/19 07:44:34] 	 epoch : 007/300 	 Epoch loss:16.245050 	 Average loss:0.000271 	 Accuracy: 0.8894 	 KD loss: 22.265321 	 CLS loss: 9.173651
[2023/03/19 07:44:51] 	 epoch : 008/300 	 Epoch loss:15.030806 	 Average loss:0.000251 	 Accuracy: 0.8956 	 KD loss: 20.257423 	 CLS loss: 8.659796
[2023/03/19 07:45:07] 	 epoch : 009/300 	 Epoch loss:14.103401 	 Average loss:0.000235 	 Accuracy: 0.9014 	 KD loss: 18.779241 	 CLS loss: 8.239631
[2023/03/19 07:45:23] 	 epoch : 010/300 	 Epoch loss:13.099518 	 Average loss:0.000218 	 Accuracy: 0.9071 	 KD loss: 17.310745 	 CLS loss: 7.719025
[2023/03/19 07:45:26] 	 ### Accuracy on 10000 test images: 0.8717 Best accuracy so far: 0.5101  =>  saving model... ###
[2023/03/19 07:45:44] 	 epoch : 011/300 	 Epoch loss:12.387480 	 Average loss:0.000206 	 Accuracy: 0.9116 	 KD loss: 16.165512 	 CLS loss: 7.401594
[2023/03/19 07:46:02] 	 epoch : 012/300 	 Epoch loss:11.856439 	 Average loss:0.000198 	 Accuracy: 0.9148 	 KD loss: 15.400040 	 CLS loss: 7.120528
[2023/03/19 07:46:19] 	 epoch : 013/300 	 Epoch loss:11.242115 	 Average loss:0.000187 	 Accuracy: 0.9185 	 KD loss: 14.521525 	 CLS loss: 6.791881
[2023/03/19 07:46:37] 	 epoch : 014/300 	 Epoch loss:10.947001 	 Average loss:0.000182 	 Accuracy: 0.9197 	 KD loss: 14.043540 	 CLS loss: 6.661981
[2023/03/19 07:46:54] 	 epoch : 015/300 	 Epoch loss:10.562291 	 Average loss:0.000176 	 Accuracy: 0.9223 	 KD loss: 13.517166 	 CLS loss: 6.444281
[2023/03/19 07:47:11] 	 epoch : 016/300 	 Epoch loss:10.218694 	 Average loss:0.000170 	 Accuracy: 0.9242 	 KD loss: 13.037440 	 CLS loss: 6.254647
[2023/03/19 07:47:28] 	 epoch : 017/300 	 Epoch loss:9.681814 	 Average loss:0.000161 	 Accuracy: 0.9271 	 KD loss: 12.325352 	 CLS loss: 5.939590
[2023/03/19 07:47:46] 	 epoch : 018/300 	 Epoch loss:9.343705 	 Average loss:0.000156 	 Accuracy: 0.9298 	 KD loss: 11.860390 	 CLS loss: 5.749437
[2023/03/19 07:48:03] 	 epoch : 019/300 	 Epoch loss:9.027305 	 Average loss:0.000150 	 Accuracy: 0.9322 	 KD loss: 11.398352 	 CLS loss: 5.584955
