
=========================== Training ===========================
[2023/03/18 00:07:23] 	 epoch : 001/300 	 Epoch loss:100.274139 	 Average loss:0.001671 	 Accuracy: 0.5318 	 KD loss: 166.995818 	 CLS loss: 41.844763
[2023/03/18 00:07:25] 	 ### Accuracy on 10000 test images: 0.6419 Best accuracy so far: 0  =>  saving model... ###
[2023/03/18 00:07:40] 	 epoch : 002/300 	 Epoch loss:47.339565 	 Average loss:0.000789 	 Accuracy: 0.7575 	 KD loss: 79.078858 	 CLS loss: 19.635026
[2023/03/18 00:07:54] 	 epoch : 003/300 	 Epoch loss:29.768818 	 Average loss:0.000496 	 Accuracy: 0.8275 	 KD loss: 46.711597 	 CLS loss: 13.855223
[2023/03/18 00:08:09] 	 epoch : 004/300 	 Epoch loss:22.603736 	 Average loss:0.000377 	 Accuracy: 0.8603 	 KD loss: 33.569436 	 CLS loss: 11.469951
[2023/03/18 00:08:24] 	 epoch : 005/300 	 Epoch loss:19.132908 	 Average loss:0.000319 	 Accuracy: 0.8759 	 KD loss: 27.306963 	 CLS loss: 10.262653
[2023/03/18 00:08:42] 	 epoch : 006/300 	 Epoch loss:16.749873 	 Average loss:0.000279 	 Accuracy: 0.8885 	 KD loss: 23.244872 	 CLS loss: 9.314905
[2023/03/18 00:08:59] 	 epoch : 007/300 	 Epoch loss:15.466396 	 Average loss:0.000258 	 Accuracy: 0.8950 	 KD loss: 20.991416 	 CLS loss: 8.837287
[2023/03/18 00:09:17] 	 epoch : 008/300 	 Epoch loss:13.923566 	 Average loss:0.000232 	 Accuracy: 0.9041 	 KD loss: 18.662422 	 CLS loss: 8.073246
[2023/03/18 00:09:34] 	 epoch : 009/300 	 Epoch loss:13.307599 	 Average loss:0.000222 	 Accuracy: 0.9068 	 KD loss: 17.563466 	 CLS loss: 7.852766
[2023/03/18 00:09:52] 	 epoch : 010/300 	 Epoch loss:12.646181 	 Average loss:0.000211 	 Accuracy: 0.9097 	 KD loss: 16.586798 	 CLS loss: 7.514326
[2023/03/18 00:09:54] 	 ### Accuracy on 10000 test images: 0.8927 Best accuracy so far: 0.6419  =>  saving model... ###
[2023/03/18 00:10:09] 	 epoch : 011/300 	 Epoch loss:11.867938 	 Average loss:0.000198 	 Accuracy: 0.9151 	 KD loss: 15.395342 	 CLS loss: 7.137250
[2023/03/18 00:10:26] 	 epoch : 012/300 	 Epoch loss:11.422592 	 Average loss:0.000190 	 Accuracy: 0.9167 	 KD loss: 14.767836 	 CLS loss: 6.894322
[2023/03/18 00:10:43] 	 epoch : 013/300 	 Epoch loss:10.811181 	 Average loss:0.000180 	 Accuracy: 0.9212 	 KD loss: 13.873675 	 CLS loss: 6.577139
[2023/03/18 00:11:00] 	 epoch : 014/300 	 Epoch loss:10.475746 	 Average loss:0.000175 	 Accuracy: 0.9224 	 KD loss: 13.345689 	 CLS loss: 6.421837
[2023/03/18 00:11:17] 	 epoch : 015/300 	 Epoch loss:9.836940 	 Average loss:0.000164 	 Accuracy: 0.9268 	 KD loss: 12.527754 	 CLS loss: 6.032298
[2023/03/18 00:11:34] 	 epoch : 016/300 	 Epoch loss:9.551336 	 Average loss:0.000159 	 Accuracy: 0.9294 	 KD loss: 12.117957 	 CLS loss: 5.880192
[2023/03/18 00:11:51] 	 epoch : 017/300 	 Epoch loss:9.320317 	 Average loss:0.000155 	 Accuracy: 0.9303 	 KD loss: 11.853361 	 CLS loss: 5.723716
[2023/03/18 00:12:08] 	 epoch : 018/300 	 Epoch loss:9.014664 	 Average loss:0.000150 	 Accuracy: 0.9325 	 KD loss: 11.423678 	 CLS loss: 5.556491
[2023/03/18 00:12:26] 	 epoch : 019/300 	 Epoch loss:8.969777 	 Average loss:0.000149 	 Accuracy: 0.9335 	 KD loss: 11.342813 	 CLS loss: 5.540815
[2023/03/18 00:12:44] 	 epoch : 020/300 	 Epoch loss:8.525932 	 Average loss:0.000142 	 Accuracy: 0.9358 	 KD loss: 10.734052 	 CLS loss: 5.290389
[2023/03/18 00:12:46] 	 ### Accuracy on 10000 test images: 0.8807 Best accuracy so far: 0.8927 ###
[2023/03/18 00:13:01] 	 epoch : 021/300 	 Epoch loss:8.219404 	 Average loss:0.000137 	 Accuracy: 0.9382 	 KD loss: 10.406951 	 CLS loss: 5.070779
[2023/03/18 00:13:19] 	 epoch : 022/300 	 Epoch loss:8.166275 	 Average loss:0.000136 	 Accuracy: 0.9377 	 KD loss: 10.317124 	 CLS loss: 5.049282
[2023/03/18 00:13:36] 	 epoch : 023/300 	 Epoch loss:7.772874 	 Average loss:0.000130 	 Accuracy: 0.9410 	 KD loss: 9.843105 	 CLS loss: 4.794540
[2023/03/18 00:13:53] 	 epoch : 024/300 	 Epoch loss:7.768138 	 Average loss:0.000129 	 Accuracy: 0.9419 	 KD loss: 9.803126 	 CLS loss: 4.808609
[2023/03/18 00:14:11] 	 epoch : 025/300 	 Epoch loss:7.307192 	 Average loss:0.000122 	 Accuracy: 0.9450 	 KD loss: 9.224942 	 CLS loss: 4.521519
[2023/03/18 00:14:28] 	 epoch : 026/300 	 Epoch loss:7.155299 	 Average loss:0.000119 	 Accuracy: 0.9466 	 KD loss: 9.097425 	 CLS loss: 4.395411
[2023/03/18 00:14:46] 	 epoch : 027/300 	 Epoch loss:6.966639 	 Average loss:0.000116 	 Accuracy: 0.9471 	 KD loss: 8.896853 	 CLS loss: 4.259872
[2023/03/18 00:15:04] 	 epoch : 028/300 	 Epoch loss:6.717476 	 Average loss:0.000112 	 Accuracy: 0.9488 	 KD loss: 8.540723 	 CLS loss: 4.126483
[2023/03/18 00:15:23] 	 epoch : 029/300 	 Epoch loss:6.703680 	 Average loss:0.000112 	 Accuracy: 0.9502 	 KD loss: 8.524116 	 CLS loss: 4.117542
[2023/03/18 00:15:41] 	 epoch : 030/300 	 Epoch loss:6.509599 	 Average loss:0.000108 	 Accuracy: 0.9509 	 KD loss: 8.290762 	 CLS loss: 3.991617
[2023/03/18 00:15:43] 	 ### Accuracy on 10000 test images: 0.9090 Best accuracy so far: 0.8927  =>  saving model... ###
[2023/03/18 00:15:59] 	 epoch : 031/300 	 Epoch loss:6.431228 	 Average loss:0.000107 	 Accuracy: 0.9525 	 KD loss: 8.278269 	 CLS loss: 3.899900
[2023/03/18 00:16:14] 	 epoch : 032/300 	 Epoch loss:6.309080 	 Average loss:0.000105 	 Accuracy: 0.9522 	 KD loss: 8.107160 	 CLS loss: 3.832770
[2023/03/18 00:16:30] 	 epoch : 033/300 	 Epoch loss:5.970663 	 Average loss:0.000100 	 Accuracy: 0.9562 	 KD loss: 7.705038 	 CLS loss: 3.610810
[2023/03/18 00:16:47] 	 epoch : 034/300 	 Epoch loss:5.855316 	 Average loss:0.000098 	 Accuracy: 0.9573 	 KD loss: 7.585813 	 CLS loss: 3.526238
